pitch,dist_empirical,dist_binomial,dist_binomial_tritones,dist_gamma,dist_factor_poisson,dist_gaussian,dist_static
Fbb,0.0,1.86345218e-10,6.27151553e-08,2.28681043e-07,5.14331374e-06,2.14523915e-09,2.55577730e-05
Cbb,0.0,9.46901945e-10,9.25273757e-07,9.21700861e-07,1.39148310e-05,2.53646407e-08,6.52043509e-05
Gbb,0.0,7.85764505e-08,2.85641226e-06,3.61110698e-06,3.64013092e-05,2.50442895e-07,2.39082064e-04
Dbb,0.0,2.90598938e-07,9.00625072e-06,1.36974119e-05,9.44943894e-05,2.06497937e-06,3.58399885e-04
Abb,0.0,1.89246733e-06,6.10725053e-05,5.00536776e-05,2.43245154e-04,1.42183669e-05,7.68074798e-04
Ebb,0.0,7.36568387e-05,1.33190799e-04,1.75122940e-04,5.96937269e-04,8.17543218e-05,1.84982839e-03
Bbb,0.0,1.91347903e-04,5.76038467e-04,5.82014337e-04,1.38748819e-03,3.92553382e-04,2.79384358e-03
Fb,0.0,1.81509272e-03,1.84145001e-03,1.81869881e-03,3.20139747e-03,1.57403261e-03,4.88473226e-03
Cb,0.0,5.06054594e-03,4.49294475e-03,5.27159574e-03,7.36588045e-03,5.27054749e-03,8.76667449e-03
Gb,0.027522935779816515,1.76985743e-02,1.27639006e-02,1.39185381e-02,1.56465810e-02,1.47375311e-02,1.71332590e-02
Db,0.03784403669724771,3.55046234e-02,3.05371790e-02,3.26725917e-02,2.97762267e-02,3.44128579e-02,2.69858333e-02
Ab,0.047018348623853214,7.36262072e-02,5.75483801e-02,6.60998778e-02,5.55734988e-02,6.71032796e-02,4.04037023e-02
Eb,0.11811926605504587,1.05908254e-01,1.09128275e-01,1.11276829e-01,1.06449485e-01,1.09268191e-01,8.02250447e-02
Bb,0.17660550458715596,1.50234997e-01,1.75629912e-01,1.51920074e-01,1.75097171e-01,1.48583560e-01,1.29740012e-01
F,0.143348623853211,1.57124082e-01,1.95319334e-01,1.69746027e-01,2.00072012e-01,1.68723186e-01,1.26831397e-01
C,0.17660550458715596,1.60437618e-01,1.50109083e-01,1.59416423e-01,1.42483624e-01,1.59994766e-01,1.04249467e-01
G,0.06307339449541284,1.20791717e-01,1.04786585e-01,1.24272612e-01,9.32125711e-02,1.26696257e-01,1.13151932e-01
D,0.12155963302752294,8.97050263e-02,7.58975968e-02,8.26336574e-02,6.98272204e-02,8.37816278e-02,1.28676119e-01
A,0.07454128440366972,4.62320171e-02,4.36084539e-02,4.58429051e-02,4.47986611e-02,4.62658775e-02,7.88950246e-02
E,0.006880733944954129,2.46476453e-02,1.93156077e-02,2.16337899e-02,2.43852306e-02,2.13353521e-02,3.70431754e-02
B,0.0,7.55540855e-03,1.08649031e-02,8.56568880e-03,1.39035875e-02,8.21610207e-03,2.91726530e-02
F#,0.006880733944954129,2.90901720e-03,5.02484287e-03,2.88378366e-03,7.92480920e-03,2.64215832e-03,2.72777194e-02
C#,0.0,3.37249059e-04,1.34632920e-03,8.69252198e-04,4.03262008e-03,7.09543212e-04,1.65285078e-02
G#,0.0,1.38965354e-04,6.86542961e-04,2.45020481e-04,1.98672527e-03,1.59120400e-04,8.47257964e-03
D#,0.0,4.54268909e-06,2.72442268e-04,6.53316753e-05,1.00231463e-03,2.97988755e-05,6.60489347e-03
A#,0.0,9.54090450e-07,1.14096757e-05,1.64900829e-05,4.82384445e-04,4.66016067e-06,4.51619719e-03
E#,0.0,1.89934372e-07,2.86389376e-05,3.97355192e-06,2.20128894e-04,6.08595735e-07,2.32985726e-03
B#,0.0,4.08160878e-09,2.67384154e-06,9.24012647e-07,1.00622052e-04,6.63718496e-08,9.86293687e-04
F##,0.0,9.19441635e-10,3.50520823e-08,2.08382646e-07,4.55127721e-05,6.04457730e-09,4.07214039e-04
C##,0.0,1.19809713e-10,3.15334926e-07,4.56493393e-08,1.97638895e-05,4.59700475e-10,3.87972640e-04
G##,0.0,2.30629255e-12,1.03144463e-08,9.74353581e-09,8.42688116e-06,2.91951674e-11,1.40977824e-04
D##,0.0,4.59440001e-13,4.14132081e-11,2.03415570e-09,3.58256324e-06,1.54836729e-12,4.29711096e-05
A##,0.0,4.46506415e-14,1.47955703e-09,4.16388968e-10,1.48967124e-06,6.85747140e-14,2.91099509e-05
E##,0.0,8.23297341e-16,1.69976900e-11,8.36827814e-11,6.04848355e-07,2.53618555e-15,2.72006291e-06
B##,0.0,1.38294435e-16,1.27571298e-14,1.65369879e-11,2.43647762e-07,7.83294439e-17,1.39691771e-05
