pitch,dist_empirical,dist_binomial,dist_binomial_tritones,dist_gamma,dist_factor_poisson,dist_gaussian,dist_static
Fbb,0.0,1.21719100e-09,2.76442571e-05,2.27494637e-06,1.62329388e-04,8.13443842e-08,6.52059812e-05
Cbb,0.0,3.35347641e-09,5.74333949e-05,6.83607782e-06,3.24233856e-04,5.69502003e-07,2.39088042e-04
Gbb,0.0,3.04134652e-09,8.50374236e-05,2.01962276e-05,4.93083897e-04,3.46300087e-06,3.58408846e-04
Dbb,0.0,4.76370096e-07,4.17942832e-04,5.85063107e-05,9.11545647e-04,1.82894063e-05,7.68094001e-04
Abb,0.0,1.82924678e-06,1.31218947e-03,1.65635114e-04,2.12064996e-03,8.38950393e-05,1.84987464e-03
Ebb,0.0,2.71552128e-06,1.83806948e-03,4.56317084e-04,3.49635450e-03,3.34243230e-04,2.79391343e-03
Bbb,0.0,9.45145146e-05,2.25945812e-03,1.21655936e-03,4.33389856e-03,1.15658784e-03,4.88485439e-03
Fb,0.0008213552361396304,4.59238998e-04,9.28964970e-03,3.11556162e-03,9.18718702e-03,3.47603617e-03,8.76689367e-03
Cb,0.0016427104722792608,9.55261168e-04,2.03462176e-02,7.58701489e-03,1.98888093e-02,9.07359973e-03,1.71336873e-02
Gb,0.004106776180698152,8.17765656e-03,1.88475117e-02,1.73186440e-02,2.32563619e-02,2.05714361e-02,2.69865080e-02
Db,0.042299794661190965,4.42490526e-02,2.25392959e-02,3.62918391e-02,2.43019842e-02,4.05078572e-02,4.04047124e-02
Ab,0.10349075975359343,1.18007252e-01,8.19766051e-02,6.77174558e-02,6.71657624e-02,6.92793164e-02,8.02270504e-02
Eb,0.18809034907597535,1.58812905e-01,1.16430218e-01,1.08030254e-01,1.06951330e-01,1.02910001e-01,1.29743256e-01
Bb,0.0513347022587269,1.21274511e-01,6.57556017e-02,1.42679413e-01,6.84533250e-02,1.32770391e-01,1.26834568e-01
F,0.07597535934291581,9.63318228e-02,8.61599198e-02,1.60241595e-01,8.16764636e-02,1.48776573e-01,1.04252073e-01
C,0.21026694045174538,1.35089949e-01,2.41284586e-01,1.48801381e-01,2.55953508e-01,1.44796322e-01,1.13154761e-01
G,0.1679671457905544,1.22505164e-01,1.84701773e-01,1.18767473e-01,1.69645643e-01,1.22396831e-01,1.28679336e-01
D,0.06570841889117043,5.40491865e-02,6.20825184e-02,8.05385211e-02,6.37214271e-02,8.98612560e-02,7.88969971e-02
A,0.02053388090349076,3.93017727e-02,1.90701012e-02,4.87365508e-02,3.25939499e-02,5.73012978e-02,3.70441015e-02
E,0.02053388090349076,5.17618242e-02,2.48459341e-02,2.76803969e-02,3.36553937e-02,3.17355549e-02,2.91733823e-02
B,0.02505133470225873,2.48914671e-02,1.62702320e-02,1.50601670e-02,1.83596730e-02,1.52657237e-02,2.72784014e-02
F#,0.00862422997946612,5.17006122e-03,1.32333290e-02,7.86723314e-03,6.59167462e-03,6.37790968e-03,1.65289211e-02
C#,0.01190965092402464,9.63576854e-03,6.76882448e-03,3.96353411e-03,2.98704087e-03,2.31434977e-03,8.47279146e-03
G#,0.0004106776180698152,6.92233771e-03,2.24132066e-03,1.94157975e-03,2.11300606e-03,7.29405932e-04,6.60505860e-03
D#,0.0004106776180698152,4.70937533e-04,6.59844618e-04,9.30339297e-04,1.00964879e-03,1.99663762e-04,4.51631010e-03
A#,0.0008213552361396304,7.44427285e-04,8.02619635e-04,4.37264364e-04,3.52473255e-04,4.74699609e-05,2.32991551e-03
E#,0.0,9.44407193e-04,3.50367058e-04,2.01975643e-04,1.49136408e-04,9.80230389e-06,9.86318346e-04
B#,0.0,8.13190005e-05,2.19894962e-04,9.18952965e-05,8.54090205e-05,1.75803337e-06,4.07224220e-04
F##,0.0,2.78761579e-06,8.06733621e-05,4.12707425e-05,3.69943160e-05,2.73851883e-07,3.87982340e-04
C##,0.0,5.52239903e-05,2.70383308e-05,1.83232316e-05,1.26232161e-05,3.70504949e-08,1.40981348e-04
G##,0.0,5.86795546e-06,5.61002219e-06,8.05115556e-06,5.07262198e-06,4.35373467e-09,4.29721839e-05
D##,0.0,2.49583662e-07,8.70999510e-06,3.50470955e-06,2.52418787e-06,4.44344254e-10,2.91106787e-05
A##,0.0,5.30808711e-09,2.04361293e-06,1.51284227e-06,1.01314020e-06,3.93882642e-11,2.72013092e-06
E##,0.0,5.64457782e-11,1.47561736e-06,6.48083755e-07,3.38739253e-07,3.03252075e-12,1.39695263e-05
B##,0.0,2.40095976e-13,3.09211845e-07,2.75709391e-07,1.30384591e-07,2.02782458e-13,5.56755278e-07
