pitch,dist_empirical,dist_binomial,dist_binomial_tritones,dist_gamma,dist_factor_poisson,dist_gaussian,dist_static
Fbb,0.0,1.62980299e-05,7.89343622e-06,4.02222631e-05,3.11915495e-05,3.93897708e-10,2.39103573e-04
Cbb,0.0,3.60446436e-05,2.47236130e-05,8.29439975e-05,6.88723603e-05,6.57380666e-09,3.58432128e-04
Gbb,0.0,8.91817827e-05,4.86119725e-05,1.70052129e-04,1.53767329e-04,8.85946205e-08,7.68143897e-04
Dbb,0.0,2.36819959e-04,1.51832772e-04,3.46328641e-04,3.64650774e-04,9.64172474e-07,1.84999481e-03
Abb,0.0,5.26049111e-04,2.42631954e-04,6.99917550e-04,7.76607370e-04,8.47342630e-06,2.79409492e-03
Ebb,0.0,9.55030880e-04,1.00461611e-03,1.40178890e-03,1.49234709e-03,6.01340335e-05,4.88517171e-03
Bbb,0.0,2.66400062e-03,1.68683447e-03,2.77752914e-03,3.27011202e-03,3.44618483e-04,8.76746317e-03
Fb,0.0,6.82704027e-03,4.14227273e-03,5.43260921e-03,7.09768188e-03,1.59482762e-03,1.71348003e-02
Cb,0.0,1.00893536e-02,1.15626402e-02,1.04575470e-02,1.18406801e-02,5.95999481e-03,2.69882610e-02
Gb,0.0392156862745098,1.90912530e-02,1.98810999e-02,1.97291395e-02,2.03652021e-02,1.79860156e-02,4.04073371e-02
Db,0.05128205128205128,4.94477508e-02,3.45867499e-02,3.62582474e-02,4.53188189e-02,4.38309619e-02,8.02322620e-02
Ab,0.08597285067873303,7.89994388e-02,8.40746500e-02,6.43104713e-02,7.34141814e-02,8.62549423e-02,1.29751684e-01
Eb,0.09653092006033183,7.84226660e-02,1.11613621e-01,1.08406061e-01,8.02390291e-02,1.37070478e-01,1.26842807e-01
Bb,0.13122171945701358,1.51931462e-01,1.29126707e-01,1.68812824e-01,1.48347003e-01,1.75897966e-01,1.04258845e-01
F,0.22624434389140272,2.55893537e-01,2.41267255e-01,2.27926754e-01,2.67228222e-01,1.82278170e-01,1.13162112e-01
C,0.23529411764705882,1.96677229e-01,2.29567015e-01,2.20980028e-01,1.83411049e-01,1.52533576e-01,1.28687696e-01
G,0.06334841628959276,7.29761936e-02,5.90960159e-02,4.91369677e-02,7.80229737e-02,1.03074965e-01,7.89021223e-02
D,0.013574660633484163,2.50671640e-02,2.45980980e-02,3.86213844e-02,3.49533782e-02,5.62468094e-02,3.70465079e-02
A,0.042232277526395176,2.63659320e-02,2.72653940e-02,2.43610792e-02,2.32910044e-02,2.47856058e-02,2.91752775e-02
E,0.012066365007541479,1.63253379e-02,1.38191393e-02,1.36117658e-02,1.22407121e-02,8.81978781e-03,2.72801734e-02
B,0.0030165912518853697,4.67109948e-03,3.10877117e-03,3.71553646e-03,4.71700672e-03,2.53439140e-03,1.65299948e-02
F#,0.0,8.23941406e-04,1.66716443e-03,1.55161045e-03,1.82199542e-03,5.88093240e-04,8.47334186e-03
C#,0.0,1.15338319e-03,9.71055783e-04,8.00067063e-04,9.00984816e-04,1.10198489e-04,6.60548767e-03
G#,0.0,5.60253242e-04,3.25917660e-04,2.34952034e-04,4.01837844e-04,1.66748541e-05,4.51660348e-03
D#,0.0,6.84965357e-05,9.19874238e-05,8.08655459e-05,1.44297449e-04,2.03753651e-06,2.33006687e-03
A#,0.0,4.91316413e-05,4.46288990e-05,3.59084667e-05,5.15194989e-05,2.01050754e-07,9.86382417e-04
E#,0.0,2.51463282e-05,1.55594175e-05,1.14691207e-05,2.17255609e-05,1.60200166e-08,4.07250674e-04
B#,0.0,4.93478231e-06,4.71601893e-06,3.73164767e-06,8.64521541e-06,1.03080656e-09,3.88007543e-04
F##,0.0,5.16332419e-06,1.58849793e-06,1.46722399e-06,2.93461263e-06,5.35609576e-11,1.40990507e-04
C##,0.0,2.20267626e-07,5.72779897e-07,4.88853203e-07,9.90506667e-07,2.24737965e-12,4.29749754e-05
G##,0.0,1.44310296e-07,1.57724101e-07,1.57738060e-07,3.76301715e-07,7.61485272e-14,2.91125698e-05
D##,0.0,2.94855174e-07,5.32553248e-08,5.72405471e-08,1.37507164e-07,2.08354806e-15,2.72030762e-06
A##,0.0,3.80489518e-12,1.72772193e-08,1.93153623e-08,4.45400974e-08,4.60365202e-17,1.39704338e-05
E##,0.0,2.53273964e-10,5.35276015e-09,6.25972396e-09,1.43715443e-08,8.21407012e-19,5.56791445e-07
B##,0.0,6.74370226e-09,1.68199324e-09,2.16505130e-09,5.05895871e-09,1.18350821e-20,2.49954980e-07
