pitch,dist_empirical,dist_binomial,dist_poisson,dist_binomial_tritones,dist_gamma,dist_factor_poisson,dist_gaussian,dist_static
Fbb,0.0,3.16814387e-16,1.12490547e-10,1.24913682e-09,6.04607786e-11,1.55461488e-08,2.13059313e-15,1.36764787e-06
Cbb,0.0,1.06722164e-15,4.88515850e-10,2.36827035e-09,2.82257703e-10,4.99727149e-08,5.68050525e-14,3.00849208e-06
Gbb,0.0,1.91489851e-13,1.46400626e-09,1.36762629e-08,1.30289933e-09,1.57721133e-07,1.26797814e-12,5.98627873e-06
Dbb,0.0,8.32569742e-13,5.40906656e-09,5.00312469e-08,5.93850996e-09,4.88052534e-07,2.36959935e-11,6.54062392e-05
Abb,0.0,3.25516258e-12,3.10009162e-08,1.13094784e-07,2.66830485e-08,1.48089217e-06,3.70745968e-10,2.55581054e-05
Ebb,0.0,3.69923808e-10,1.32035098e-07,7.29017105e-07,1.17957284e-07,4.39756282e-06,4.85642076e-09,6.52051988e-05
Bbb,0.0,1.33680536e-09,3.66107137e-07,1.44693993e-06,5.11805061e-07,1.27608773e-05,5.32591872e-08,2.39085173e-04
Fb,0.0,6.60460567e-09,1.24651714e-06,6.31061367e-06,2.17318358e-06,3.61042146e-05,4.89002544e-07,3.58404545e-04
Cb,0.0,4.14227160e-07,6.95124925e-06,2.12668848e-05,8.99596935e-06,9.92993970e-05,3.75894577e-06,7.68084785e-04
Gb,0.0,1.19881020e-06,2.86115166e-05,4.24686326e-05,3.61185731e-05,2.64884090e-04,2.41913084e-05,1.84985244e-03
Db,0.0,8.08661575e-06,7.04344024e-05,2.26989378e-04,1.39713823e-04,6.83991457e-04,1.30343991e-04,2.79387991e-03
Ab,0.0,2.14026034e-04,2.07850798e-04,5.14902273e-04,5.16444433e-04,1.70241362e-03,5.87977932e-04,4.88479578e-03
Eb,0.0,4.80957841e-04,1.06259578e-03,1.53155594e-03,1.80372090e-03,4.05373823e-03,2.22059519e-03,8.76678848e-03
Bb,0.008908685968819599,4.54606900e-03,4.01665407e-03,4.84849369e-03,5.82670652e-03,9.16980270e-03,7.02127723e-03,1.71334817e-02
F,0.005939123979213066,1.42528219e-02,7.82579747e-03,8.36721524e-03,1.66972670e-02,1.96191164e-02,1.85866536e-02,2.69861842e-02
C,0.026726057906458798,4.28126956e-02,1.64763764e-02,2.70491665e-02,3.99940075e-02,3.93794747e-02,4.11931159e-02,4.04042277e-02
G,0.10690423162583519,8.12590358e-02,5.95626930e-02,8.74295672e-02,7.69889316e-02,7.24470704e-02,7.64339741e-02,8.02260878e-02
D,0.14847809948032664,1.33237300e-01,1.54947833e-01,1.85910367e-01,1.24808917e-01,1.17286575e-01,1.18737143e-01,1.29741699e-01
A,0.16629547141796586,1.60966413e-01,1.55127200e-01,1.94005535e-01,1.61121610e-01,1.59361558e-01,1.54427665e-01,1.26833046e-01
E,0.1358574610244989,1.70889117e-01,1.22308556e-01,1.19957711e-01,1.74680334e-01,1.74804628e-01,1.68151975e-01,1.04250822e-01
B,0.10022271714922049,1.41535538e-01,1.43754820e-01,1.00770676e-01,1.51069587e-01,1.52552335e-01,1.53291191e-01,1.13153404e-01
F#,0.16406829992576094,1.07910420e-01,1.66201346e-01,1.14474841e-01,1.07572342e-01,1.08593496e-01,1.16995937e-01,1.28677793e-01
C#,0.09279881217520415,6.59941966e-02,9.51388949e-02,6.56353188e-02,6.63527469e-02,6.63584741e-02,7.47588681e-02,7.88960505e-02
G#,0.004454342984409799,4.00011586e-02,3.05762233e-02,3.11783748e-02,3.68545801e-02,3.68272958e-02,3.99938315e-02,3.70436570e-02
D#,0.013363028953229399,1.92332824e-02,1.71503770e-02,2.56827213e-02,1.89264647e-02,1.92433427e-02,1.79127252e-02,2.91730323e-02
A#,0.0200445434298441,1.00321679e-02,1.33400338e-02,1.75397795e-02,9.14961781e-03,9.54118637e-03,6.71689677e-03,2.72780741e-02
E#,0.005939123979213066,3.84994786e-03,7.37646638e-03,6.74766354e-03,4.21654839e-03,4.48108463e-03,2.10869632e-03,1.65287228e-02
B#,0.0,1.84637258e-03,2.30497020e-03,3.65283983e-03,1.86929526e-03,2.00629412e-03,5.54239868e-04,8.47268980e-03
F##,0.0,5.61951082e-04,1.10926628e-03,2.39064800e-03,8.02596367e-04,8.66266703e-04,1.21960681e-04,6.60497935e-03
C##,0.0,2.65298144e-04,7.48912729e-04,1.08791417e-03,3.35465762e-04,3.62847373e-04,2.24688207e-05,4.51625591e-03
G##,0.0,6.18817340e-05,4.09523468e-04,4.74968208e-04,1.37046886e-04,1.47394010e-04,3.46560509e-06,2.32988756e-03
D##,0.0,3.09081475e-05,1.30943699e-04,2.48498849e-04,5.48957236e-05,5.81214418e-05,4.47523889e-07,9.86306512e-04
A##,0.0,5.41642747e-06,5.86434360e-05,1.24753660e-04,2.16155954e-05,2.23482902e-05,4.83828816e-08,4.07219334e-04
E##,0.0,2.91181831e-06,3.64977867e-05,5.31069190e-05,8.38423546e-06,8.40919153e-06,4.37930906e-09,3.87977684e-04
B##,0.0,4.05337721e-07,1.97452495e-05,2.39887290e-05,3.20906957e-06,3.09775662e-06,3.31862222e-10,1.40979657e-04
