pitch,dist_empirical,dist_binomial,dist_poisson,dist_binomial_tritones,dist_gamma,dist_factor_poisson,dist_gaussian,dist_static
Fbb,0.0,4.35816241e-07,1.19851256e-05,8.81355992e-06,1.00392957e-05,2.17740398e-05,6.15861410e-06,6.52059812e-05
Cbb,0.0,1.09678793e-06,3.30785695e-05,4.86492043e-05,2.48273299e-05,5.23390424e-05,2.17461901e-05,2.39088042e-04
Gbb,0.0,1.70434027e-05,9.08085490e-05,6.09573402e-05,6.06876498e-05,1.22833074e-04,7.04317383e-05,3.58408846e-04
Dbb,0.0,2.13737278e-05,2.50156336e-04,3.15621200e-04,1.46348916e-04,2.80972632e-04,2.09237091e-04,7.68094001e-04
Abb,0.0,7.21566120e-05,6.39702590e-04,2.72657363e-04,3.47340109e-04,6.24861803e-04,5.70156366e-04,1.84987464e-03
Ebb,0.0,4.77083741e-04,1.48000004e-03,1.57479530e-03,8.08820791e-04,1.34702308e-03,1.42506384e-03,2.79391343e-03
Bbb,0.0,6.35698768e-04,3.31432849e-03,2.22592061e-03,1.84038499e-03,2.80699119e-03,3.26707950e-03,4.88485439e-03
Fb,0.003785011355034065,2.47485682e-03,7.35797631e-03,5.36843819e-03,4.06935007e-03,5.63589242e-03,6.87021175e-03,8.76689367e-03
Cb,0.010724198839263184,8.28668838e-03,1.48958353e-02,1.08680651e-02,8.67672091e-03,1.08422953e-02,1.32515165e-02,1.71336873e-02
Gb,0.00757002271006813,1.14080002e-02,2.61131515e-02,2.11545614e-02,1.76408728e-02,1.98369348e-02,2.34447756e-02,2.69865080e-02
Db,0.035705273782488015,3.69330686e-02,4.22932594e-02,3.13085156e-02,3.36046972e-02,3.42861727e-02,3.80462289e-02,4.04047124e-02
Ab,0.08655059298511229,7.86931298e-02,6.64069995e-02,5.82287387e-02,5.82795922e-02,5.55945185e-02,5.66320381e-02,8.02270504e-02
Eb,0.09336361342417361,1.14067910e-01,9.41142111e-02,8.36511707e-02,8.82949408e-02,8.32804926e-02,7.73210611e-02,1.29743256e-01
Bb,0.10093363613424174,9.95189609e-02,1.11659164e-01,1.03136002e-01,1.15064422e-01,1.11848638e-01,9.68319010e-02,1.26834568e-01
F,0.10963916225082009,1.00554574e-01,1.16787838e-01,1.26946946e-01,1.30421359e-01,1.29842345e-01,1.11230567e-01,1.04252073e-01
C,0.12957355538733284,1.16310533e-01,1.17619993e-01,1.44168123e-01,1.27833809e-01,1.27640729e-01,1.17196564e-01,1.13154761e-01
G,0.13487257128438052,1.19685473e-01,1.11930989e-01,1.20119856e-01,1.10584952e-01,1.08830356e-01,1.13263675e-01,1.28679336e-01
D,0.0754478930103457,7.80813713e-02,9.26655996e-02,7.46695975e-02,8.81455370e-02,8.65762613e-02,1.00404102e-01,7.88969971e-02
A,0.05084531920262427,6.15328775e-02,6.67054355e-02,5.55893018e-02,6.64647328e-02,6.77443665e-02,8.16389293e-02,3.70441015e-02
E,0.05147615442846329,5.72725784e-02,4.60861810e-02,5.17639223e-02,4.80806652e-02,5.11475173e-02,6.08875060e-02,2.91733823e-02
B,0.038228614685844056,4.60493491e-02,3.16455281e-02,4.12493515e-02,3.36703688e-02,3.59849831e-02,4.16527911e-02,2.72784014e-02
F#,0.026747413575574062,2.22447159e-02,2.03612306e-02,2.48471795e-02,2.29759471e-02,2.40007822e-02,2.61363580e-02,1.65289211e-02
C#,0.014256876103961645,1.65079781e-02,1.19046169e-02,1.51208990e-02,1.53515007e-02,1.58026204e-02,1.50428828e-02,8.47279146e-03
G#,0.013626040878122634,1.30959955e-02,6.80104845e-03,1.05255237e-02,1.00795304e-02,1.02777752e-02,7.94149213e-03,6.60505860e-03
D#,0.008074690890739339,8.00830209e-03,3.97806119e-03,6.58315687e-03,6.52124651e-03,6.41718788e-03,3.84554757e-03,4.51631010e-03
A#,0.0027756749936916477,2.94394574e-03,2.27862947e-03,4.40960213e-03,4.16632388e-03,3.84917186e-03,1.70804498e-03,2.32991551e-03
E#,0.0040373454453696694,2.45221565e-03,1.22002342e-03,2.51256059e-03,2.63300014e-03,2.27991550e-03,6.95865747e-04,9.86318346e-04
B#,0.0012616704516780217,1.41018059e-03,6.39252459e-04,1.46128295e-03,1.64826150e-03,1.34176172e-03,2.60037902e-04,4.07224220e-04
F##,0.00025233409033560434,6.68077245e-04,3.44351921e-04,8.04877392e-04,1.02322864e-03,7.68883969e-04,8.91318428e-05,3.87982340e-04
C##,0.0,2.59465121e-04,1.85258953e-04,4.44484222e-04,6.30523061e-04,4.27277956e-04,2.80229697e-05,1.40981348e-04
G##,0.0,1.95648052e-04,9.47897366e-05,2.91079878e-04,3.85971852e-04,2.34655249e-04,8.08128581e-06,4.29721839e-05
D##,0.00025233409033560434,5.71830698e-05,4.74040078e-05,1.30832835e-04,2.34870715e-04,1.28252649e-04,2.13762645e-06,2.91106787e-05
A##,0.0,3.82435984e-05,2.43025498e-05,7.91173995e-05,1.42157754e-04,6.87736196e-05,5.18642620e-07,2.72013092e-06
E##,0.0,1.78058812e-05,1.25607705e-05,4.35026930e-05,8.56240960e-05,3.60004827e-05,1.15422274e-07,1.39695263e-05
B##,0.0,5.98357906e-06,6.24897534e-06,1.58972130e-05,5.13442790e-05,1.86433361e-05,2.35611288e-08,5.56755278e-07
