pitch,dist_empirical,dist_binomial,dist_binomial_tritones,dist_gamma,dist_factor_poisson,dist_gaussian,dist_static
Fbb,0.0,8.10397981e-07,1.42929639e-06,3.89179622e-07,4.56008279e-06,6.53048611e-06,6.52059812e-05
Cbb,0.0,3.26835438e-06,4.40009911e-06,1.51431995e-06,1.29816540e-05,2.37879202e-05,2.39088042e-04
Gbb,0.0,9.65113530e-06,1.60257493e-05,5.53717237e-06,3.64293194e-05,7.90995415e-05,3.58408846e-04
Dbb,0.0,3.44204694e-05,4.82048613e-05,1.97632558e-05,9.99548106e-05,2.40103223e-04,7.68094001e-04
Abb,0.0,1.31638566e-04,1.34960234e-04,7.10519635e-05,2.63365100e-04,6.65316880e-04,1.84987464e-03
Ebb,0.0,3.72251936e-04,4.31520479e-04,2.41011219e-04,6.68321706e-04,1.68292834e-03,2.79391343e-03
Bbb,0.0,9.54204482e-04,1.15375678e-03,7.61418137e-04,1.66638236e-03,3.88605763e-03,4.88485439e-03
Fb,0.002766453115899825,2.95103744e-03,2.81057937e-03,2.28009804e-03,4.04402975e-03,8.19142350e-03,8.76689367e-03
Cb,0.0110658124635993,8.10805354e-03,7.61912883e-03,6.33936483e-03,9.15458808e-03,1.57621716e-02,1.71336873e-02
Gb,0.016453115899825278,1.66711141e-02,1.74007571e-02,1.73038808e-02,1.91075243e-02,2.76872138e-02,2.69865080e-02
Db,0.03450786255096098,3.37775229e-02,3.43876183e-02,4.05460387e-02,3.85906414e-02,4.43965258e-02,4.04047124e-02
Ab,0.06508444962143273,7.82188164e-02,7.66171404e-02,8.12512910e-02,7.62335166e-02,6.49868143e-02,8.02270504e-02
Eb,0.14123471170646476,1.43127525e-01,1.43518876e-01,1.17807072e-01,1.30437591e-01,8.68376455e-02,1.29743256e-01
Bb,0.15987186953989516,1.57664881e-01,1.58190585e-01,1.34815390e-01,1.60667230e-01,1.05924729e-01,1.26834568e-01
F,0.10527082119976704,9.90827053e-02,9.79820865e-02,1.32268147e-01,1.21220495e-01,1.17948715e-01,1.04252073e-01
C,0.09624344787419918,7.09917022e-02,7.22045636e-02,1.17027729e-01,6.75610903e-02,1.19893488e-01,1.13154761e-01
G,0.11284216656959814,1.06233585e-01,1.05698878e-01,9.61790778e-02,9.34122922e-02,1.11251149e-01,1.28679336e-01
D,0.0972626674432149,1.05827231e-01,1.11109869e-01,7.47752240e-02,9.45601169e-02,9.42366733e-02,7.88969971e-02
A,0.04353523587652883,5.52498837e-02,5.44137533e-02,5.56651474e-02,5.66873416e-02,7.28688503e-02,3.70441015e-02
E,0.016161910308677925,2.54103294e-02,2.44531071e-02,4.00182118e-02,2.70772113e-02,5.14363826e-02,2.91733823e-02
B,0.018782760629004077,3.30097977e-02,3.10891794e-02,2.79566412e-02,3.19387672e-02,3.31440403e-02,2.72784014e-02
F#,0.043972044263249854,3.01971041e-02,3.24827877e-02,1.90678164e-02,2.73382049e-02,1.94960670e-02,1.65289211e-02
C#,0.013541059988351777,1.38459812e-02,1.26569053e-02,1.27431402e-02,1.41912329e-02,1.04687565e-02,8.47279146e-03
G#,0.0017472335468841002,4.66044344e-03,3.75122129e-03,8.36854083e-03,6.74189481e-03,5.13156365e-03,6.60505860e-03
D#,0.010046592894583576,5.43354797e-03,4.53447516e-03,5.41270820e-03,6.95018470e-03,2.29620612e-03,4.51631010e-03
A#,0.007716948165404776,4.59001160e-03,4.86289593e-03,3.45446719e-03,5.16141097e-03,9.37947544e-04,2.32991551e-03
E#,0.00145602795573675,1.87202039e-03,1.37022726e-03,2.17880379e-03,2.43738595e-03,3.49746003e-04,9.86318346e-04
B#,0.0,4.67353500e-04,2.60696374e-04,1.35983066e-03,1.19364581e-03,1.19051124e-04,4.07224220e-04
F##,0.0,4.99046034e-04,3.33135406e-04,8.40723595e-04,1.09255722e-03,3.69931037e-05,3.87982340e-04
C##,0.0,3.90324522e-04,3.72256666e-04,5.15377647e-04,7.19990221e-04,1.04933599e-05,1.40981348e-04
G##,0.00043680838672102506,1.41722324e-04,5.96257610e-05,3.13507152e-04,3.19971590e-04,2.71715804e-06,4.29721839e-05
D##,0.0,2.44869131e-05,7.12906024e-06,1.89372972e-04,1.62080062e-04,6.42276095e-07,2.91106787e-05
A##,0.0,2.42774471e-05,1.01440344e-05,1.13657441e-04,1.33398721e-04,1.38591038e-07,2.72013092e-06
E##,0.0,1.75996731e-05,1.19707050e-05,6.78134190e-05,7.95359506e-05,2.72995235e-08,1.39695263e-05
B##,0.0,5.65035585e-06,1.10462410e-07,4.02413733e-05,3.40758624e-05,4.90886983e-09,5.56755278e-07
