pitch,dist_empirical,dist_binomial,dist_poisson,dist_binomial_tritones,dist_gamma,dist_factor_poisson,dist_gaussian,dist_static
Fbb,0.0,7.68873913e-08,5.32784384e-06,1.09011973e-05,3.17580680e-07,1.43883744e-04,2.99024342e-06,6.52059812e-05
Cbb,0.0,1.22661347e-07,1.69130772e-05,4.43101145e-06,1.37002799e-06,3.20850586e-04,1.27359760e-05,2.39088042e-04
Gbb,0.0,1.90511677e-06,6.02568069e-05,8.58725838e-05,5.71287304e-06,7.05252626e-04,4.88071731e-05,3.58408846e-04
Dbb,0.0,9.98582288e-06,1.87751627e-04,2.87726010e-04,2.29055099e-05,1.01884156e-03,1.68290968e-04,7.68094001e-04
Abb,0.0,2.30812362e-05,4.79264292e-04,3.29856496e-04,8.77211401e-05,2.02076698e-03,5.22112024e-04,1.84987464e-03
Ebb,0.0,1.21151060e-04,1.26101292e-03,1.74414875e-03,3.18165406e-04,4.57557215e-03,1.45744547e-03,2.79391343e-03
Bbb,0.0029930162953109413,6.62832228e-04,3.73464231e-03,4.01330502e-03,1.08081095e-03,6.00407203e-03,3.66055272e-03,4.88485439e-03
Fb,0.0006651147322913202,1.98237019e-03,9.51326274e-03,5.43043115e-03,3.38793886e-03,9.87989125e-03,8.27230902e-03,8.76689367e-03
Cb,0.004655803126039242,5.16098979e-03,1.82257738e-02,1.63106506e-02,9.60455312e-03,2.27488331e-02,1.68202546e-02,1.71336873e-02
Gb,0.019953441968739608,1.95126195e-02,3.32439356e-02,2.99057752e-02,2.39693273e-02,2.79455666e-02,3.07725946e-02,2.69865080e-02
Db,0.05221150648486864,6.54801342e-02,6.66643694e-02,3.76103144e-02,5.08746967e-02,3.53713885e-02,5.06548923e-02,4.04047124e-02
Ab,0.12271366810774859,1.30148287e-01,1.13600567e-01,7.39883385e-02,8.84275370e-02,7.77384884e-02,7.50247247e-02,8.02270504e-02
Eb,0.1326903890921184,1.49762734e-01,1.31257689e-01,1.11948371e-01,1.22971126e-01,9.21556431e-02,9.99800056e-02,1.29743256e-01
Bb,0.08713002993016296,1.07596120e-01,1.26398597e-01,1.13305036e-01,1.40271875e-01,8.56318226e-02,1.19880249e-01,1.26834568e-01
F,0.12470901230462254,8.46829975e-02,1.30747189e-01,1.41318653e-01,1.37660497e-01,1.45839834e-01,1.29332552e-01,1.04252073e-01
C,0.14499501163950781,1.10647908e-01,1.30408912e-01,1.68038015e-01,1.17934579e-01,1.66507010e-01,1.25543372e-01,1.13154761e-01
G,0.13368806119055537,1.10486615e-01,9.69495904e-02,1.19624403e-01,9.42441668e-02,1.20107173e-01,1.09649200e-01,1.28679336e-01
D,0.06318589956767542,6.49344938e-02,5.49307190e-02,5.43749996e-02,7.04742477e-02,6.80433424e-02,8.61673774e-02,7.88969971e-02
A,0.012304622547389425,3.64336772e-02,3.32479252e-02,3.21998025e-02,5.05494879e-02,4.80118046e-02,6.09264699e-02,3.70441015e-02
E,0.02161622879946791,3.82447941e-02,2.22249363e-02,3.02639570e-02,3.43418477e-02,3.65667108e-02,3.87609925e-02,2.91733823e-02
B,0.03957432657133356,3.32022479e-02,1.32432297e-02,2.34866237e-02,2.19745846e-02,2.24762591e-02,2.21875575e-02,2.72784014e-02
F#,0.01962088460259395,1.66465052e-02,6.40990836e-03,1.65682742e-02,1.35040102e-02,1.14748727e-02,1.14274633e-02,1.65289211e-02
C#,0.0019953441968739607,7.70056387e-03,3.27480917e-03,9.23179580e-03,8.05009879e-03,6.43468715e-03,5.29560891e-03,8.47279146e-03
G#,0.0036581310276022614,6.85177378e-03,1.89833735e-03,4.05466551e-03,4.67849056e-03,3.97781448e-03,2.20804392e-03,6.60505860e-03
D#,0.007648819421350183,5.16871059e-03,1.05021567e-03,2.08488965e-03,2.62985601e-03,2.18951945e-03,8.28371680e-04,4.51631010e-03
A#,0.0029930162953109413,2.24879684e-03,4.86692172e-04,1.70472456e-03,1.41952053e-03,1.04462497e-03,2.79620180e-04,2.32991551e-03
E#,0.0009976720984369804,8.88349712e-04,2.31196739e-04,1.01377544e-03,7.42935515e-04,5.20399948e-04,8.49253826e-05,9.86318346e-04
B#,0.0,6.73277379e-04,1.24163366e-04,5.69497863e-04,3.87427668e-04,2.82010933e-04,2.32077076e-05,4.07224220e-04
F##,0.0,4.41491989e-04,6.59253091e-05,2.60793756e-04,1.99175008e-04,1.42731681e-04,5.70627517e-06,3.87982340e-04
C##,0.0,1.67254094e-04,3.00779601e-05,1.14106248e-04,9.78260369e-05,6.45736668e-05,1.26240559e-06,1.40981348e-04
G##,0.0,5.52094233e-05,1.37575514e-05,4.79672316e-05,4.66776509e-05,2.97737797e-05,2.51287473e-07,4.29721839e-05
D##,0.0,3.48997298e-05,7.03759870e-06,3.88550971e-05,2.25188216e-05,1.47031905e-05,4.50058016e-08,2.91106787e-05
A##,0.0,1.99586497e-05,3.63155152e-06,1.70638325e-05,1.08149758e-05,6.95898473e-06,7.25256946e-09,2.72013092e-06
E##,0.0,6.47194190e-06,1.64546461e-06,8.90072965e-06,4.96249041e-06,3.01122608e-06,1.05157687e-09,1.39695263e-05
B##,0.0,1.59242766e-06,7.36335118e-07,3.07715104e-06,2.21725375e-06,1.31126327e-06,1.37187924e-10,5.56755278e-07
