pitch,dist_empirical,dist_binomial,dist_poisson,dist_binomial_tritones,dist_gamma,dist_factor_poisson,dist_gaussian,dist_static
Fbb,0.00010290183165260341,2.94794530e-07,1.07792111e-05,2.72443157e-05,1.47459326e-05,1.59558533e-04,6.94547341e-06,6.52059812e-05
Cbb,0.0,2.15910948e-06,2.99514196e-05,8.52106316e-05,3.75972082e-05,2.67683611e-04,2.46313227e-05,2.39088042e-04
Gbb,0.0,6.72404392e-06,8.30103411e-05,1.10595612e-04,9.40153286e-05,6.09173867e-04,7.99891084e-05,3.58408846e-04
Dbb,0.0,2.95985762e-05,2.31759263e-04,6.77328117e-04,2.29897326e-04,1.13447565e-03,2.37865371e-04,7.68094001e-04
Abb,0.0,1.48845972e-04,5.99331692e-04,3.29014767e-04,5.47762245e-04,1.62131629e-03,6.47722269e-04,1.84987464e-03
Ebb,0.00020580366330520683,3.61451624e-04,1.39706207e-03,2.05532775e-03,1.26591277e-03,3.52241021e-03,1.61511585e-03,2.79391343e-03
Bbb,0.002263840296357275,1.67733048e-03,3.15920246e-03,5.40603175e-03,2.82138583e-03,6.68264150e-03,3.68787141e-03,4.88485439e-03
Fb,0.0016464293064416546,4.20449934e-03,7.11281654e-03,5.10164563e-03,6.01900990e-03,7.99217544e-03,7.71090059e-03,8.76689367e-03
Cb,0.014920765589627495,1.21702902e-02,1.45699958e-02,1.32700499e-02,1.21704961e-02,1.55119103e-02,1.47635800e-02,1.71336873e-02
Gb,0.029635727515949783,2.37250179e-02,2.57010408e-02,3.28183423e-02,2.30197780e-02,3.05626013e-02,2.58842449e-02,2.69865080e-02
Db,0.03436921177196954,4.54023982e-02,4.19039773e-02,3.07376147e-02,4.00555038e-02,3.08837766e-02,4.15562702e-02,4.04047124e-02
Ab,0.06143239349660424,6.66828684e-02,6.65023053e-02,5.25609769e-02,6.30165790e-02,4.75450851e-02,6.10934802e-02,8.02270504e-02
Eb,0.12235027783494547,9.38888453e-02,9.50327904e-02,1.02964538e-01,8.86766978e-02,9.67355862e-02,8.22451718e-02,1.29743256e-01
Bb,0.0996089730397201,1.08442932e-01,1.12760162e-01,9.91330136e-02,1.11239917e-01,8.65351661e-02,1.01387217e-01,1.26834568e-01
F,0.08304177814365096,1.21093391e-01,1.17579003e-01,9.83644124e-02,1.23872093e-01,8.75273069e-02,1.14449324e-01,1.04252073e-01
C,0.14179872401728752,1.15090142e-01,1.18457568e-01,1.45079565e-01,1.23278872e-01,1.65089004e-01,1.18304293e-01,1.13154761e-01
G,0.13469849763325786,1.07451795e-01,1.12847673e-01,1.40551571e-01,1.10297850e-01,1.42357093e-01,1.11981175e-01,1.28679336e-01
D,0.06791520889071825,8.71043975e-02,9.29637547e-02,7.33542481e-02,8.98605314e-02,7.72254841e-02,9.70614508e-02,7.88969971e-02
A,0.05062770117308088,7.05115590e-02,6.62254039e-02,4.37319333e-02,6.78777076e-02,5.02895810e-02,7.70381383e-02,3.70441015e-02
E,0.05474377443918502,4.99901249e-02,4.54055817e-02,5.76266176e-02,4.82941998e-02,5.57663438e-02,5.59914896e-02,2.91733823e-02
B,0.04784935171846059,3.59564505e-02,3.10649723e-02,4.54887661e-02,3.27418253e-02,3.96573254e-02,3.72645179e-02,2.72784014e-02
F#,0.026651574398024284,2.26836962e-02,1.98846867e-02,1.90476341e-02,2.13324047e-02,1.95312105e-02,2.27104759e-02,1.65289211e-02
C#,0.0065857172257666186,1.47448388e-02,1.15201691e-02,8.86025195e-03,1.34442501e-02,1.11195573e-02,1.26740146e-02,8.47279146e-03
G#,0.006277011730808808,8.38198240e-03,6.53555298e-03,1.05044808e-02,8.23787213e-03,9.38795134e-03,6.47678404e-03,6.60505860e-03
D#,0.008952459353776497,4.98167291e-03,3.81239531e-03,6.50873724e-03,4.92757699e-03,5.89264124e-03,3.03083205e-03,4.51631010e-03
A#,0.0032928586128833093,2.57717548e-03,2.17717375e-03,2.50485965e-03,2.88668578e-03,2.75446657e-03,1.29873806e-03,2.32991551e-03
E#,0.00041160732661041366,1.41132720e-03,1.15784230e-03,1.11283585e-03,1.66057230e-03,1.45467169e-03,5.09610663e-04,9.86318346e-04
B#,0.00041160732661041366,6.70381770e-04,6.03098159e-04,1.05911764e-03,9.40050453e-04,1.03459159e-03,1.83110264e-04,4.07224220e-04
F##,0.00020580366330520683,3.39734107e-04,3.24176147e-04,5.11291465e-04,5.24644329e-04,5.91656910e-04,6.02482050e-05,3.87982340e-04
C##,0.0,1.49509696e-04,1.74086675e-04,1.97003354e-04,2.89107753e-04,2.66427273e-04,1.81523467e-05,1.40981348e-04
G##,0.0,7.02224980e-05,8.86129973e-05,1.07933472e-04,1.57505594e-04,1.33436009e-04,5.00816568e-06,4.29721839e-05
D##,0.0,2.89082180e-05,4.40879730e-05,6.69665343e-05,8.49284962e-05,8.41043394e-05,1.26526600e-06,2.91106787e-05
A##,0.0,1.25764843e-05,2.25596734e-05,2.07319897e-05,4.53675907e-05,4.46834985e-05,2.92713149e-07,2.72013092e-06
E##,0.0,4.88952810e-06,1.16462411e-05,2.03798879e-05,2.40287898e-05,1.95255333e-05,6.20097339e-08,1.39695263e-05
B##,0.0,1.96838117e-06,5.77029792e-06,3.72843672e-06,1.26277404e-05,9.37703081e-06,1.20291446e-08,5.56755278e-07
