pitch,dist_empirical,dist_binomial,dist_poisson,dist_binomial_tritones,dist_gamma,dist_factor_poisson,dist_gaussian,dist_static
Fbb,0.0,6.94537094e-06,4.48412074e-06,2.54810023e-05,3.44259676e-05,5.91124081e-05,3.22298060e-06,2.55577730e-05
Cbb,0.0,2.27734022e-05,1.31541985e-05,5.67031972e-05,7.14820746e-05,1.22088900e-04,1.19550338e-05,6.52043509e-05
Gbb,0.0,6.95758108e-05,3.60830279e-05,1.26518970e-04,1.47073696e-04,2.38895474e-04,4.06375369e-05,2.39082064e-04
Dbb,0.0,1.56056328e-04,9.82209154e-05,2.60091198e-04,2.99459776e-04,4.72295048e-04,1.26586501e-04,3.58399885e-04
Abb,0.0,3.95350848e-04,2.67430452e-04,5.75257419e-04,6.02447933e-04,9.47246150e-04,3.61352337e-04,7.68074798e-04
Ebb,0.0011149653121902874,1.06001973e-03,6.77172815e-04,1.27826871e-03,1.19514937e-03,1.75466124e-03,9.45274169e-04,1.84982839e-03
Bbb,0.00037165510406342913,2.06518096e-03,1.55612647e-03,2.25971946e-03,2.33219157e-03,3.08507754e-03,2.26604309e-03,2.79384358e-03
Fb,0.0044598612487611496,4.08149553e-03,3.45498904e-03,4.63034692e-03,4.46221837e-03,5.78443320e-03,4.97808134e-03,4.88473226e-03
Cb,0.008300297324083251,9.35498418e-03,7.57754188e-03,9.77250217e-03,8.33574374e-03,1.04831857e-02,1.00216508e-02,8.76667449e-03
Gb,0.011521308225966304,1.62661394e-02,1.51840453e-02,1.57998886e-02,1.51168400e-02,1.62391111e-02,1.84884282e-02,1.71332590e-02
Db,0.027626362735381566,2.50497713e-02,2.64709862e-02,2.54575009e-02,2.64022582e-02,2.55899169e-02,3.12567753e-02,2.69858333e-02
Ab,0.05797819623389495,4.62643739e-02,4.26228398e-02,4.59446489e-02,4.39021496e-02,4.50722840e-02,4.84252420e-02,4.04037023e-02
Eb,0.07544598612487612,7.18409374e-02,6.63159472e-02,7.15931848e-02,6.83057917e-02,6.54752548e-02,6.87516113e-02,8.02250447e-02
Bb,0.08325074331020813,8.57497346e-02,9.33203812e-02,8.32651014e-02,9.68187969e-02,7.61639832e-02,8.94493962e-02,1.29740012e-01
F,0.10877106045589693,1.11536175e-01,1.10693283e-01,1.09564327e-01,1.20589563e-01,1.09536120e-01,1.06648658e-01,1.26831397e-01
C,0.13825569871159563,1.46936480e-01,1.16072019e-01,1.51359617e-01,1.30599940e-01,1.59176028e-01,1.16524388e-01,1.04249467e-01
G,0.14754707631318137,1.37859942e-01,1.16873957e-01,1.43648658e-01,1.24426451e-01,1.39803929e-01,1.16670677e-01,1.13151932e-01
D,0.09415262636273539,8.96064358e-02,1.11133571e-01,8.75108244e-02,1.04762501e-01,9.09327017e-02,1.07050834e-01,1.28676119e-01
A,0.051412289395441034,6.40616449e-02,9.23986136e-02,5.90283482e-02,7.99819944e-02,6.73749252e-02,9.00122967e-02,7.88950246e-02
E,0.06850842418235877,6.62457658e-02,6.71092251e-02,6.31992054e-02,5.76669198e-02,6.26914242e-02,6.93580833e-02,3.70431754e-02
B,0.04670465807730426,5.26614389e-02,4.66773899e-02,5.21734406e-02,4.00573421e-02,4.59622522e-02,4.89751499e-02,2.91726530e-02
F#,0.023290386521308225,2.62789011e-02,3.21595181e-02,2.72281257e-02,2.69351157e-02,2.65682747e-02,3.16911439e-02,2.72777194e-02
C#,0.019202180376610506,1.35098242e-02,2.07877916e-02,1.50686580e-02,1.76138465e-02,1.63666917e-02,1.87924546e-02,1.65285078e-02
G#,0.011892963330029732,1.27625772e-02,1.22508703e-02,1.22304465e-02,1.12674316e-02,1.21686176e-02,1.02120411e-02,8.47257964e-03
D#,0.012264618434093162,8.91095402e-03,7.04235528e-03,8.66215342e-03,7.08222296e-03,7.89112371e-03,5.08539920e-03,6.60489347e-03
A#,0.00421209117938553,3.40637404e-03,4.12987471e-03,4.06328609e-03,4.38567774e-03,4.24755915e-03,2.32071066e-03,4.51619719e-03
E#,0.0019821605550049554,1.32660553e-03,2.37213626e-03,2.24491210e-03,2.68082924e-03,2.37160974e-03,9.70510852e-04,2.32985726e-03
B#,0.000867195242814668,1.32518784e-03,1.27756601e-03,1.39272984e-03,1.62042796e-03,1.53319333e-03,3.71931743e-04,9.86293687e-04
F##,0.0006194251734390486,7.91746829e-04,6.72902812e-04,7.99953738e-04,9.69997979e-04,9.06956944e-04,1.30619960e-04,4.07214039e-04
C##,0.0,2.09857875e-04,3.63229646e-04,3.82645587e-04,5.75712349e-04,4.62690477e-04,4.20377341e-05,3.87972640e-04
G##,0.0002477700693756194,6.28808480e-05,1.95752339e-04,2.01165249e-04,3.39113843e-04,2.41759161e-04,1.23980248e-05,1.40977824e-04
D##,0.0,8.06398772e-05,1.00609388e-04,1.05771197e-04,1.98399527e-04,1.41677355e-04,3.35080501e-06,4.29711096e-05
A##,0.0,3.67347504e-05,5.05420505e-05,5.23360188e-05,1.15370000e-04,7.79506049e-05,8.29906684e-07,2.91099509e-05
E##,0.0,5.11855674e-06,2.59584323e-05,2.38137195e-05,6.67206421e-05,3.80609418e-05,1.88361795e-07,2.72006291e-06
B##,0.0,1.37563453e-06,1.34320986e-05,1.43695423e-05,3.83939744e-05,1.89088423e-05,3.91777805e-08,1.39691771e-05
