pitch,dist_empirical,dist_binomial,dist_poisson,dist_binomial_tritones,dist_gamma,dist_factor_poisson,dist_gaussian,dist_static
Fbb,0.0,1.90312609e-05,8.43344414e-05,5.38424072e-05,2.10195973e-05,4.21803766e-05,7.97401308e-05,2.55577730e-05
Cbb,0.0,6.98502789e-05,1.96834221e-04,9.92457884e-05,5.37106023e-05,9.80943610e-05,1.97221100e-04,6.52043509e-05
Gbb,0.0,1.22228708e-04,4.43719583e-04,2.79907672e-04,1.34175456e-04,2.22737606e-04,4.58676334e-04,2.39082064e-04
Dbb,0.0,2.96602819e-04,9.65578132e-04,5.57775146e-04,3.26608376e-04,4.92330579e-04,1.00308056e-03,3.58399885e-04
Abb,0.0,9.77943198e-04,1.99915288e-03,1.07589069e-03,7.71530662e-04,1.05559033e-03,2.06272731e-03,7.68074798e-04
Ebb,0.0017779533781114183,1.99461397e-03,3.90606118e-03,2.74443495e-03,1.75970776e-03,2.19178674e-03,3.98863550e-03,1.84982839e-03
Bbb,0.0039510075069142635,3.42227453e-03,7.25224703e-03,4.47377101e-03,3.85024323e-03,4.39927201e-03,7.25242765e-03,2.79384358e-03
Fb,0.008889766890557092,8.01696749e-03,1.28203920e-02,8.52762431e-03,8.01478232e-03,8.48015002e-03,1.23999229e-02,4.88473226e-03
Cb,0.024891347293559858,1.70385613e-02,2.12567630e-02,1.81301553e-02,1.57017851e-02,1.55458646e-02,1.99356816e-02,8.76667449e-03
Gb,0.024693796918214144,2.63629029e-02,3.26436023e-02,2.74735092e-02,2.85414518e-02,2.69557630e-02,3.01383670e-02,1.71332590e-02
Db,0.04128802844725405,3.91810516e-02,4.67254211e-02,4.19112419e-02,4.72521936e-02,4.41553527e-02,4.28434930e-02,2.69858333e-02
Ab,0.061240616357171075,6.74912072e-02,6.28806469e-02,6.67089981e-02,6.96548300e-02,6.74109455e-02,5.72699164e-02,4.04037023e-02
Eb,0.10746740418806795,1.01262006e-01,7.89389522e-02,1.00879286e-01,8.94670161e-02,9.21347515e-02,7.19854547e-02,8.02250447e-02
Bb,0.0962070327933623,1.09255876e-01,9.14090364e-02,1.10165700e-01,9.99297633e-02,1.06994182e-01,8.50823505e-02,1.29740012e-01
F,0.10114579217700513,9.07536397e-02,9.82749760e-02,8.97697069e-02,1.01451681e-01,1.03735713e-01,9.45607115e-02,1.26831397e-01
C,0.07111813512445674,8.26492158e-02,9.96760463e-02,8.06225447e-02,9.78360359e-02,9.19049647e-02,9.88231079e-02,1.04249467e-01
G,0.10391149743184512,9.51146092e-02,9.55597782e-02,9.27904132e-02,9.04032579e-02,8.74559215e-02,9.71142162e-02,1.13151932e-01
D,0.0839589095219281,9.51024595e-02,8.56239512e-02,9.43473213e-02,7.96774469e-02,8.36953861e-02,8.97394979e-02,1.28676119e-01
A,0.07190833662583959,6.92980058e-02,7.15760034e-02,6.76744759e-02,6.63512187e-02,6.63528180e-02,7.79760059e-02,7.88950246e-02
E,0.03871987356775978,4.52131881e-02,5.66415533e-02,4.38950824e-02,5.29512080e-02,4.87517340e-02,6.37110644e-02,3.70431754e-02
B,0.04168312919794548,3.99416928e-02,4.28775554e-02,3.99977261e-02,4.11626180e-02,4.03220899e-02,4.89491619e-02,2.91726530e-02
F#,0.03812722244172264,3.78113043e-02,3.08999438e-02,3.74224488e-02,3.12473290e-02,3.32710857e-02,3.53632511e-02,2.72777194e-02
C#,0.033583563808771234,2.61324956e-02,2.11287333e-02,2.56475094e-02,2.29649427e-02,2.30754413e-02,2.40234642e-02,1.65285078e-02
G#,0.018372184907151323,1.37366431e-02,1.38829265e-02,1.38631833e-02,1.63661159e-02,1.55282524e-02,1.53460146e-02,8.47257964e-03
D#,0.013235875148162782,9.16132213e-03,8.89074776e-03,9.88151718e-03,1.14245639e-02,1.17612235e-02,9.21790240e-03,6.60489347e-03
A#,0.00691426313709996,8.18824193e-03,5.54549096e-03,8.50525428e-03,7.86001007e-03,8.59930408e-03,5.20649107e-03,4.51619719e-03
E#,0.00375345713156855,5.55222606e-03,3.34969078e-03,5.51177507e-03,5.31019434e-03,5.44667547e-03,2.76525175e-03,2.32985726e-03
B#,0.002568154879494271,2.48488743e-03,1.97212392e-03,2.77531547e-03,3.50970283e-03,3.48974651e-03,1.38102248e-03,9.86293687e-04
F##,0.0,1.20213081e-03,1.14518036e-03,1.58986048e-03,2.28291076e-03,2.45584106e-03,6.48549822e-04,4.07214039e-04
C##,0.00019755037534571315,1.00112768e-03,6.56315692e-04,1.18568976e-03,1.47130231e-03,1.62842374e-03,2.86393044e-04,3.87972640e-04
G##,0.0003951007506914263,6.81775454e-04,3.68712722e-04,7.29034687e-04,9.37194432e-04,9.70177512e-04,1.18920879e-04,1.40977824e-04
D##,0.0,2.67767165e-04,2.03427098e-04,3.48355730e-04,5.87723714e-04,6.00267667e-04,4.64333783e-05,4.29711096e-05
A##,0.0,8.56635520e-05,1.11259564e-04,1.87175036e-04,3.64344238e-04,3.95048168e-04,1.70482175e-05,2.91099509e-05
E##,0.0,6.48786692e-05,6.04382604e-05,1.12831865e-04,2.24378453e-04,2.42404586e-04,5.88578233e-06,2.72006291e-06
B##,0.0,4.56080124e-05,3.24041421e-05,6.13955936e-05,1.37003031e-04,1.38480100e-04,1.91075912e-06,1.39691771e-05
