pitch,dist_empirical,dist_binomial,dist_poisson,dist_binomial_tritones,dist_gamma,dist_factor_poisson,dist_gaussian,dist_static
Fbb,0.0,1.04139600e-09,9.92307650e-07,3.19421063e-06,6.05455989e-06,4.85586003e-06,2.86583672e-07,3.00836692e-06
Cbb,0.0,7.64225901e-06,2.92243051e-06,9.09636620e-06,1.31491008e-05,1.09748743e-05,1.15123590e-06,5.98602968e-06
Gbb,0.0,6.58069817e-06,8.53003419e-06,2.22505715e-05,2.82688462e-05,2.44512231e-05,4.27157611e-06,6.54035182e-05
Dbb,0.0,1.88030407e-06,2.36908115e-05,5.02157246e-05,6.00944382e-05,5.42333366e-05,1.46393878e-05,2.55570421e-05
Abb,0.0,1.16057507e-04,6.22231024e-05,1.12975205e-04,1.26155526e-04,1.17725505e-04,4.63413438e-05,6.52024861e-05
Ebb,0.0,1.88101481e-04,1.60169789e-04,2.62196241e-04,2.61126757e-04,2.46156927e-04,1.35495626e-04,2.39075227e-04
Bbb,0.0,2.00463613e-04,4.05568961e-04,5.08511550e-04,5.31943711e-04,5.05025174e-04,3.65925662e-04,3.58389635e-04
Fb,0.0015412278448497304,9.23144510e-04,9.64493977e-04,1.11358924e-03,1.06408980e-03,1.03560315e-03,9.12791111e-04,7.68052831e-04
Cb,0.0015412278448497304,2.12677993e-03,2.11642579e-03,2.41646963e-03,2.08450334e-03,2.06382727e-03,2.10310463e-03,1.84977549e-03
Gb,0.008219881839198561,3.96572541e-03,4.44638876e-03,4.05622885e-03,3.98537598e-03,3.87472597e-03,4.47570340e-03,2.79376367e-03
Db,0.005651168764449011,6.00711980e-03,9.06135008e-03,6.45204186e-03,7.40512411e-03,7.05820918e-03,8.79777114e-03,4.88459256e-03
Ab,0.014384793218597482,1.16900527e-02,1.70503704e-02,1.44291566e-02,1.32994986e-02,1.29823768e-02,1.59733116e-02,8.76642376e-03
Eb,0.026714615977395325,2.92890129e-02,2.86403181e-02,2.75001978e-02,2.29254960e-02,2.29973990e-02,2.67872549e-02,1.71327689e-02
Bb,0.033650141279219115,3.92979688e-02,4.44397253e-02,3.45308768e-02,3.75787608e-02,3.64860251e-02,4.14927670e-02,2.69850615e-02
F,0.04032879527356794,4.35760003e-02,6.55762581e-02,4.20392359e-02,5.78491072e-02,5.39580566e-02,5.93645976e-02,4.04025467e-02
C,0.08451066015926022,8.36301789e-02,8.85314373e-02,8.29871156e-02,8.22537346e-02,8.27566418e-02,7.84501179e-02,8.02227502e-02
G,0.12817878243000258,1.33584324e-01,1.04598380e-01,1.38952786e-01,1.05784434e-01,1.22515718e-01,9.57570184e-02,1.29736301e-01
D,0.13896737734395068,1.36460381e-01,1.11114446e-01,1.40984252e-01,1.20545420e-01,1.39807137e-01,1.07958930e-01,1.26827769e-01
A,0.08836372977138454,9.31588538e-02,1.11915493e-01,9.53235596e-02,1.21211882e-01,1.10892777e-01,1.12423595e-01,1.04246485e-01
E,0.08707937323400976,8.35702494e-02,1.06205759e-01,8.35910813e-02,1.09825986e-01,8.24171357e-02,1.08135256e-01,1.13148696e-01
B,0.1148214744413049,9.81451697e-02,9.05858443e-02,9.88742419e-02,9.04817587e-02,9.34729069e-02,9.60700673e-02,1.28672439e-01
F#,0.08348317492936039,8.22895888e-02,6.92787710e-02,8.25395729e-02,6.99966481e-02,7.43564196e-02,7.88351358e-02,7.88927682e-02
C#,0.046493706652966864,4.69358478e-02,5.02569178e-02,4.43829436e-02,5.13126558e-02,4.21577161e-02,5.97533815e-02,3.70421159e-02
G#,0.02697148728487028,3.04309376e-02,3.54916581e-02,2.94753059e-02,3.60299750e-02,3.45404630e-02,4.18327194e-02,2.91718186e-02
D#,0.021063447212946312,2.91548215e-02,2.36658360e-02,2.83692632e-02,2.43364594e-02,2.92461029e-02,2.70508334e-02,2.72769393e-02
A#,0.020035961983046493,2.08821336e-02,1.46415728e-02,1.96495585e-02,1.58546421e-02,1.68921877e-02,1.61568296e-02,1.65280351e-02
E#,0.015412278448497303,9.92787230e-03,8.76299186e-03,8.59676187e-03,1.00384493e-02,1.01185403e-02,8.91338324e-03,8.47233732e-03
B#,0.005394297456974056,5.39903266e-03,5.24583826e-03,4.88607968e-03,6.22009888e-03,7.86190400e-03,4.54192500e-03,6.60470457e-03
F##,0.004880554842024146,4.29929307e-03,3.07485483e-03,3.98520320e-03,3.77388661e-03,4.98017152e-03,2.13770749e-03,4.51606803e-03
C##,0.0017980991523246853,2.63087419e-03,1.71691548e-03,2.25471918e-03,2.24253664e-03,2.64654947e-03,9.29324832e-04,2.32979063e-03
G##,0.0005137426149499101,1.03974089e-03,9.35224218e-04,7.97885952e-04,1.31049133e-03,1.69123457e-03,3.73162287e-04,9.86265479e-04
D##,0.0,4.92309758e-04,5.13358334e-04,4.11281247e-04,7.55734221e-04,1.10563225e-03,1.38400893e-04,4.07202393e-04
A##,0.0,3.48190983e-04,2.80477740e-04,2.74695114e-04,4.30206406e-04,5.97075636e-04,4.74122956e-05,3.87961544e-04
E##,0.0,1.70142908e-04,1.48185852e-04,1.22681470e-04,2.41802629e-04,3.24947516e-04,1.50021677e-05,1.40973792e-04
B##,0.0,5.35251743e-05,7.66105149e-05,3.47746535e-05,1.34449411e-04,1.99092498e-04,4.38457990e-06,4.29698806e-05
