pitch,dist_empirical,dist_binomial,dist_binomial_tritones,dist_gamma,dist_factor_poisson,dist_gaussian,dist_static
Fbb,0.0,1.96891569e-08,1.13193923e-05,8.06127134e-06,6.61065994e-05,4.30725323e-06,2.55577730e-05
Cbb,0.0,7.31738305e-08,4.81418670e-05,2.18547868e-05,1.35152228e-04,1.55653150e-05,6.52043509e-05
Gbb,0.0,1.57444137e-06,7.07667892e-05,5.78689336e-05,2.72841878e-04,5.15962127e-05,2.39082064e-04
Dbb,0.0,6.04769188e-06,3.14705554e-04,1.49154104e-04,5.43680872e-04,1.56884537e-04,3.58399885e-04
Abb,0.0,2.40349027e-05,2.94036819e-04,3.72673002e-04,1.04708893e-03,4.37567301e-04,7.68074798e-04
Ebb,0.0,2.78465080e-04,1.52263440e-03,8.98093500e-04,1.95323967e-03,1.11946878e-03,1.84982839e-03
Bbb,0.0010966916468652897,8.63333596e-04,2.24758839e-03,2.07433438e-03,3.61801008e-03,2.62712969e-03,2.79384358e-03
Fb,0.002924511058307439,3.74848362e-03,5.04592480e-03,4.55586391e-03,6.55073040e-03,5.65527133e-03,4.88473226e-03
Cb,0.0063973679400475235,8.04903650e-03,1.00452570e-02,9.42148794e-03,1.11586357e-02,1.11667755e-02,8.76667449e-03
Gb,0.01809541217327728,2.03848324e-02,1.97412649e-02,1.81304422e-02,1.83256966e-02,2.02257449e-02,1.71332590e-02
Db,0.040394808992871505,3.28047773e-02,2.80601794e-02,3.20640835e-02,3.02488984e-02,3.36034348e-02,2.69858333e-02
Ab,0.0672637543410711,5.88422029e-02,5.16174716e-02,5.15760580e-02,4.72595465e-02,5.12112317e-02,4.04037023e-02
Eb,0.07238164869310912,7.48426966e-02,7.51712374e-02,7.49838656e-02,6.55955791e-02,7.15894747e-02,8.02250447e-02
Bb,0.09011149698409797,1.03992160e-01,9.32517078e-02,9.80885347e-02,8.78657463e-02,9.17984894e-02,1.29740012e-01
F,0.0990678121001645,1.08279094e-01,1.13508052e-01,1.15362350e-01,1.20671049e-01,1.07975270e-01,1.26831397e-01
C,0.13745201974044965,1.22627301e-01,1.35888466e-01,1.22049458e-01,1.42167399e-01,1.16497194e-01,1.04249467e-01
G,0.11807713397916286,1.07311933e-01,1.22865641e-01,1.16647705e-01,1.23519450e-01,1.15294619e-01,1.13151932e-01
D,0.09394991774812649,1.02439241e-01,8.76527277e-02,1.01315304e-01,9.21498145e-02,1.04665852e-01,1.28676119e-01
A,0.061231950283312006,7.70700702e-02,7.07345221e-02,8.07776391e-02,7.30822844e-02,8.71572247e-02,7.88950246e-02
E,0.07128495704624382,6.35066754e-02,6.44110642e-02,5.98444662e-02,5.91624649e-02,6.65739273e-02,3.70431754e-02
B,0.05245841710838969,4.19604199e-02,4.66785123e-02,4.16812124e-02,4.16547692e-02,4.66452437e-02,2.91726530e-02
F#,0.0268689453481996,3.03320481e-02,2.52851013e-02,2.75642538e-02,2.65461425e-02,2.99787113e-02,2.72777194e-02
C#,0.015719246938402487,1.79596082e-02,1.66797476e-02,1.74478577e-02,1.74766889e-02,1.76734346e-02,1.65285078e-02
G#,0.012977517821239262,1.14964054e-02,1.30741962e-02,1.06400978e-02,1.17332104e-02,9.55721507e-03,8.47257964e-03
D#,0.006214585998903308,6.21254853e-03,7.55954045e-03,6.28393613e-03,7.25081066e-03,4.74071847e-03,6.60489347e-03
A#,0.0012794735880095047,3.53899116e-03,3.50554088e-03,3.60952873e-03,4.19806504e-03,2.15704585e-03,4.51619719e-03
E#,0.004021202705172729,1.77096315e-03,2.00493974e-03,2.02357429e-03,2.47848313e-03,9.00278732e-04,2.32985726e-03
B#,0.0007311277645768598,9.01658811e-04,1.43176125e-03,1.11043629e-03,1.47854543e-03,3.44664861e-04,9.86293687e-04
F##,0.0,4.21193561e-04,6.76957466e-04,5.97892486e-04,8.33679599e-04,1.21037357e-04,4.07214039e-04
C##,0.0,1.93072208e-04,2.67134124e-04,3.16513009e-04,4.49904547e-04,3.89891943e-05,3.87972640e-04
G##,0.0,8.41901067e-05,1.78679624e-04,1.65025165e-04,2.45826965e-04,1.15205044e-05,1.40977824e-04
D##,0.0,3.51353794e-05,8.74472524e-05,8.48676154e-05,1.34772500e-04,3.12249052e-06,4.29711096e-05
A##,0.0,1.42144326e-05,4.00146232e-05,4.31043915e-05,7.08953393e-05,7.76306404e-07,2.91099509e-05
E##,0.0,5.46278746e-06,2.03560833e-05,2.16456175e-05,3.61798323e-05,1.77038456e-07,2.72006291e-06
B##,0.0,2.03574782e-06,7.36182453e-06,1.07574073e-05,1.86098824e-05,3.70343275e-08,1.39691771e-05
