pitch,dist_empirical,dist_binomial,dist_binomial_tritones,dist_gamma,dist_factor_poisson,dist_gaussian,dist_static
Fbb,0.0,4.88277032e-05,1.69107854e-04,8.60467504e-05,1.71861725e-04,9.67732823e-05,2.55577730e-05
Cbb,0.0,1.30478072e-04,4.16863073e-04,1.92465977e-04,3.45581454e-04,2.38267494e-04,6.52043509e-05
Gbb,0.0,3.05998801e-04,6.58521385e-04,4.19599384e-04,6.78342802e-04,5.51025799e-04,2.39082064e-04
Dbb,0.0,7.37802594e-04,1.32662161e-03,8.88593895e-04,1.29727973e-03,1.19695240e-03,3.58399885e-04
Abb,0.0,1.58383425e-03,2.61567245e-03,1.82059918e-03,2.41213767e-03,2.44219104e-03,7.68074798e-04
Ebb,0.0038910505836575876,3.39082581e-03,5.43765303e-03,3.59167017e-03,4.35051078e-03,4.68037013e-03,1.84982839e-03
Bbb,0.0029182879377431907,6.56255465e-03,6.09411693e-03,6.78348611e-03,7.58899472e-03,8.42516810e-03,2.79384358e-03
Fb,0.020428015564202335,1.22978066e-02,1.04210754e-02,1.21810923e-02,1.27560272e-02,1.42454037e-02,4.88473226e-03
Cb,0.019455252918287938,2.09842576e-02,2.47242153e-02,2.06373866e-02,2.05707091e-02,2.26239668e-02,8.76667449e-03
Gb,0.057392996108949414,3.38843718e-02,4.11066107e-02,3.27421697e-02,3.16770522e-02,3.37489729e-02,1.71332590e-02
Db,0.030155642023346304,4.97439528e-02,3.07692167e-02,4.83316316e-02,4.63167535e-02,4.72879160e-02,2.69858333e-02
Ab,0.04571984435797665,6.78387102e-02,4.32102903e-02,6.60418386e-02,6.37903919e-02,6.22354165e-02,4.04037023e-02
Eb,0.08268482490272373,8.39628996e-02,1.04736281e-01,8.32878795e-02,8.18805102e-02,7.69348010e-02,8.02250447e-02
Bb,0.14202334630350194,9.63030886e-02,1.46129860e-01,9.68214422e-02,9.68920570e-02,8.93317578e-02,1.29740012e-01
F,0.06906614785992218,1.01477866e-01,8.35662066e-02,1.03864976e-01,1.04988552e-01,9.74286611e-02,1.26831397e-01
C,0.07392996108949416,1.00406438e-01,6.15092073e-02,1.03138271e-01,1.04279366e-01,9.98080106e-02,1.04249467e-01
G,0.11478599221789883,9.27926271e-02,9.66992772e-02,9.52960427e-02,9.58094461e-02,9.60377272e-02,1.13151932e-01
D,0.11673151750972763,8.14490592e-02,1.02520449e-01,8.24951908e-02,8.24955051e-02,8.67992871e-02,1.28676119e-01
A,0.06420233463035019,6.74523583e-02,5.55143464e-02,6.74148309e-02,6.73193068e-02,7.36865550e-02,7.88950246e-02
E,0.04669260700389105,5.34528652e-02,4.39460229e-02,5.23850534e-02,5.24149741e-02,5.87568029e-02,3.70431754e-02
B,0.014591439688715954,4.02954981e-02,4.26262543e-02,3.89591443e-02,3.90963707e-02,4.40074163e-02,2.91726530e-02
F#,0.033073929961089495,2.92426707e-02,3.28274286e-02,2.78870827e-02,2.80541241e-02,3.09593187e-02,2.72777194e-02
C#,0.024319066147859923,2.02974161e-02,1.90592553e-02,1.93047506e-02,1.94548824e-02,2.04576022e-02,1.65285078e-02
G#,0.017509727626459144,1.36085077e-02,1.59018302e-02,1.29761887e-02,1.30857584e-02,1.26974314e-02,8.47257964e-03
D#,0.0019455252918287938,8.76727525e-03,1.01129567e-02,8.49834450e-03,8.55638897e-03,7.40243884e-03,6.60489347e-03
A#,0.006809338521400778,5.47155226e-03,6.68342497e-03,5.43853216e-03,5.44925750e-03,4.05351320e-03,4.51619719e-03
E#,0.005836575875486381,3.29217083e-03,4.17441555e-03,3.40924355e-03,3.38755715e-03,2.08490449e-03,2.32985726e-03
B#,0.005836575875486381,1.92102672e-03,3.01246894e-03,2.09786477e-03,2.05969919e-03,1.00725295e-03,9.86293687e-04
F##,0.0,1.08425626e-03,1.57550837e-03,1.26948139e-03,1.22657838e-03,4.57076342e-04,4.07214039e-04
C##,0.0,5.94210356e-04,1.04833560e-03,7.56631731e-04,7.16222214e-04,1.94821439e-04,3.87972640e-04
G##,0.0,3.15661920e-04,6.10515351e-04,4.44778115e-04,4.10578805e-04,7.79978371e-05,1.40977824e-04
D##,0.0,1.62847897e-04,3.83069351e-04,2.58178323e-04,2.31346655e-04,2.93309536e-05,4.29711096e-05
A##,0.0,8.16426533e-05,1.98985413e-04,1.48138427e-04,1.28244849e-04,1.03601875e-05,2.91099509e-05
E##,0.0,3.97842285e-05,1.47449485e-04,8.40984713e-05,6.99917327e-05,3.43721628e-06,2.72006291e-06
B##,0.0,1.88556688e-05,6.64864852e-05,4.72755197e-05,3.76391945e-05,1.07113427e-06,1.39691771e-05
