pitch,dist_empirical,dist_binomial,dist_poisson,dist_binomial_tritones,dist_gamma,dist_factor_poisson,dist_gaussian,dist_static
Fbb,0.0,1.05625760e-08,4.21991883e-07,2.50221966e-05,1.23087474e-06,5.22307876e-05,1.07956910e-08,6.52059812e-05
Cbb,0.0,3.54660841e-08,1.24083050e-06,5.95530232e-05,3.89761158e-06,1.19653517e-04,9.90454784e-08,2.39088042e-04
Gbb,0.0,1.54176096e-07,4.19280664e-06,1.27679523e-04,1.21261963e-05,2.26594885e-04,7.74565797e-07,3.58408846e-04
Dbb,0.0,3.14994008e-06,1.87982550e-05,2.90868287e-04,3.69657637e-05,4.44912315e-04,5.16322949e-06,7.68094001e-04
Abb,0.0,8.54257855e-06,6.80085457e-05,6.76023984e-04,1.10035067e-04,1.03792149e-03,2.93375602e-05,1.84987464e-03
Ebb,0.0,4.71662176e-05,1.75203296e-04,1.41491469e-03,3.18432104e-04,1.94046593e-03,1.42090817e-04,2.79391343e-03
Bbb,0.0,4.49579823e-04,5.03081808e-04,2.45578699e-03,8.90807429e-04,3.07441296e-03,5.86607320e-04,4.88485439e-03
Fb,0.003286770747740345,9.92421423e-04,1.97035622e-03,5.71311737e-03,2.39078496e-03,6.79925827e-03,2.06427901e-03,8.76689367e-03
Cb,0.003286770747740345,6.71845276e-03,6.16768163e-03,1.24400009e-02,6.09231949e-03,1.35292419e-02,6.19196892e-03,1.71336873e-02
Gb,0.0016433853738701725,1.29923887e-02,1.21491831e-02,1.75872786e-02,1.45258656e-02,1.74400670e-02,1.58317379e-02,2.69865080e-02
Db,0.047658175842235,4.07620911e-02,2.41427601e-02,3.19820806e-02,3.17209229e-02,3.04123682e-02,3.45038744e-02,4.04047124e-02
Ab,0.08299096138044372,5.96843872e-02,6.41942723e-02,6.32773267e-02,6.15129670e-02,6.62541806e-02,6.40983115e-02,8.02270504e-02
Eb,0.11832374691865243,1.15360004e-01,1.34145752e-01,9.18928397e-02,1.01846827e-01,7.80391542e-02,1.01499702e-01,1.29743256e-01
Bb,0.08134757600657354,1.25596775e-01,1.45229938e-01,9.67700217e-02,1.40176102e-01,8.41427064e-02,1.37000576e-01,1.26834568e-01
F,0.16680361544782252,1.70100275e-01,1.26490671e-01,1.52283699e-01,1.64047734e-01,1.72824470e-01,1.57622958e-01,1.04252073e-01
C,0.1561216105176664,1.36545494e-01,1.38511744e-01,2.03158516e-01,1.58168516e-01,2.03083664e-01,1.54580962e-01,1.13154761e-01
G,0.18077239112571897,1.38098134e-01,1.48620429e-01,1.61881609e-01,1.29671537e-01,1.46206576e-01,1.29220670e-01,1.28679336e-01
D,0.07723911257189811,7.96943461e-02,9.77471293e-02,7.06668153e-02,8.83756592e-02,7.95424386e-02,9.20762073e-02,7.88969971e-02
A,0.014790468364831553,6.31889173e-02,4.20759875e-02,3.05894357e-02,5.14318454e-02,4.36765096e-02,5.59245255e-02,3.70441015e-02
E,0.024650780608052588,2.49924734e-02,2.37369072e-02,2.73961115e-02,2.65876970e-02,2.56585107e-02,2.89532050e-02,2.91733823e-02
B,0.036154478225143796,1.67707172e-02,1.66949293e-02,1.77412976e-02,1.25944902e-02,1.37511325e-02,1.27770453e-02,2.72784014e-02
F#,0.0016433853738701725,4.33412812e-03,9.55773584e-03,6.74529062e-03,5.58485957e-03,6.41482472e-03,4.80622031e-03,1.65289211e-02
C#,0.003286770747740345,2.79460221e-03,3.76860685e-03,1.89113564e-03,2.35242015e-03,2.90313889e-03,1.54104871e-03,8.47279146e-03
G#,0.0,4.88401589e-04,1.82403376e-03,1.64416272e-03,9.50949842e-04,1.36324297e-03,4.21180746e-04,6.60505860e-03
D#,0.0,3.10154984e-04,1.11883147e-03,8.84653690e-04,3.71708584e-04,6.21232080e-04,9.81205794e-05,4.51631010e-03
A#,0.0,3.95678623e-05,6.14490757e-04,1.97063056e-04,1.41286320e-04,2.61183894e-04,1.94845846e-05,2.32991551e-03
E#,0.0,2.37364178e-05,2.40399930e-04,1.24738255e-04,5.24486742e-05,1.06403178e-04,3.29808351e-06,9.86318346e-04
B#,0.0,2.44914084e-06,1.08527059e-04,5.16406298e-05,1.90802735e-05,4.41475273e-05,4.75851669e-07,4.07224220e-04
F##,0.0,1.27101047e-06,6.16488227e-05,1.55654065e-05,6.82074217e-06,1.80784984e-05,5.85222477e-08,3.87982340e-04
C##,0.0,1.18795992e-07,3.30359714e-05,1.23673253e-05,2.40123099e-06,7.02924742e-06,6.13493337e-09,1.40981348e-04
G##,0.0,4.76992708e-08,1.30338834e-05,1.43376880e-06,8.34025885e-07,2.65966086e-06,5.48198893e-10,4.29721839e-05
D##,0.0,4.43590093e-09,5.66413031e-06,1.18367807e-06,2.86235923e-07,1.01489314e-06,4.17547521e-11,2.91106787e-05
A##,0.0,1.24649508e-09,3.05592416e-06,6.42092979e-07,9.71894720e-08,3.84395192e-07,2.71089762e-12,2.72013092e-06
E##,0.0,1.20942226e-10,1.60644581e-06,5.89833456e-08,3.26838304e-08,1.40459403e-07,1.50023666e-13,1.39695263e-05
B##,0.0,2.23782239e-11,6.41118671e-07,6.55478515e-08,1.08959760e-08,5.01719405e-08,7.07694604e-15,5.56755278e-07
