pitch,dist_empirical,dist_binomial,dist_binomial_tritones,dist_gamma,dist_factor_poisson,dist_gaussian,dist_static
Fbb,0.0,9.06443355e-08,1.79794310e-04,6.09578821e-08,1.12664385e-03,9.01823949e-04,3.58517814e-04
Cbb,0.0,2.08465885e-07,5.63064915e-04,6.84219844e-07,1.83308349e-03,1.78416040e-03,7.68327527e-04
Gbb,0.0,1.64501528e-05,5.34872940e-04,6.30578520e-06,2.94443054e-03,3.34328344e-03,1.85043706e-03
Dbb,0.0,3.72533572e-05,2.94484326e-03,2.85122641e-05,5.75343403e-03,5.93389240e-03,2.79476287e-03
Abb,0.0,1.10806800e-04,6.16621945e-03,1.28057638e-04,8.84790964e-03,9.97546863e-03,4.88633954e-03
Ebb,0.001001001001001001,4.31620108e-03,6.96992846e-03,1.18334891e-03,1.19883406e-02,1.58837893e-02,8.76955909e-03
Bbb,0.005005005005005005,5.75866779e-03,2.18116889e-02,4.40570875e-03,2.25773688e-02,2.39553265e-02,1.71388965e-02
Fb,0.03203203203203203,3.03993643e-02,3.46334640e-02,3.56627519e-02,3.34287703e-02,3.42197824e-02,2.69947127e-02
Cb,0.06706706706706707,7.26969182e-02,3.74023877e-02,7.32575210e-02,3.59872268e-02,4.62998476e-02,4.04169968e-02
Gb,0.12112112112112113,1.02869837e-01,7.49403898e-02,9.75112644e-02,6.14895720e-02,5.93347407e-02,8.02514420e-02
Db,0.12412412412412413,9.04810757e-02,9.85395517e-02,1.07589226e-01,8.97827702e-02,7.20220875e-02,1.29782702e-01
Ab,0.07007007007007007,7.14172236e-02,8.50078689e-02,1.07137718e-01,7.35737450e-02,8.28036596e-02,1.26873129e-01
Eb,0.08008008008008008,9.03691435e-02,1.07900372e-01,9.99303764e-02,9.51593377e-02,9.01696797e-02,1.04283769e-01
Bb,0.14214214214214213,1.14394177e-01,1.24334860e-01,8.90416808e-02,1.38325288e-01,9.30033714e-02,1.13189164e-01
F,0.07507507507507508,1.00462460e-01,8.18478999e-02,7.67006550e-02,9.47853915e-02,9.08581787e-02,1.28718459e-01
C,0.04504504504504504,6.42627451e-02,4.66179353e-02,6.43717030e-02,5.18374518e-02,8.40729973e-02,7.89209844e-02
G,0.025025025025025027,5.06606430e-02,6.46545912e-02,5.29191050e-02,5.79612564e-02,7.36845108e-02,3.70553641e-02
D,0.036036036036036036,5.58689937e-02,6.93957138e-02,4.27786877e-02,7.65792263e-02,6.11678263e-02,2.91822520e-02
A,0.037037037037037035,4.91362009e-02,4.09585933e-02,3.41024444e-02,4.29930036e-02,4.80946823e-02,2.72866949e-02
E,0.026026026026026026,3.01089331e-02,2.43599331e-02,2.68681645e-02,1.94692269e-02,3.58177452e-02,1.65339464e-02
B,0.018018018018018018,1.75289391e-02,2.02077674e-02,2.09569511e-02,1.90804778e-02,2.52654242e-02,8.47536747e-03
F#,0.042042042042042045,1.53931076e-02,1.79609251e-02,1.62049428e-02,2.32791568e-02,1.68803759e-02,6.60706675e-03
C#,0.031031031031031032,1.34508444e-02,1.08391998e-02,1.24358369e-02,1.18715330e-02,1.06823008e-02,4.51768321e-03
G#,0.007007007007007007,8.26490475e-03,8.67390899e-03,9.47989650e-03,4.82987044e-03,6.40286971e-03,2.33062388e-03
D#,0.002002002002002002,4.13393494e-03,4.39249100e-03,7.18389091e-03,4.25499701e-03,3.63506093e-03,9.86618219e-04
A#,0.011011011011011011,2.73721869e-03,3.34322203e-03,5.41523917e-03,4.83951656e-03,1.95468101e-03,4.07348030e-04
E#,0.002002002002002002,2.21748254e-03,1.62336889e-03,4.06265456e-03,2.32634609e-03,9.95559593e-04,3.88100299e-04
B#,0.0,1.38822867e-03,1.60716596e-03,3.03483741e-03,8.83682979e-04,4.80270376e-04,1.41024211e-04
F##,0.0,6.64235926e-04,5.86159926e-04,2.25821734e-03,7.14036102e-04,2.19447939e-04,4.29852489e-05
C##,0.0,3.53295196e-04,5.48517220e-04,1.67436337e-03,7.62444270e-04,9.49739243e-05,2.91195293e-05
G##,0.0,2.36370657e-04,1.65576077e-04,1.23742090e-03,3.51573491e-04,3.89317952e-05,2.72095793e-06
D##,0.0,1.41319067e-04,1.77504295e-04,9.11765726e-04,1.27345005e-04,1.51158177e-05,1.39737735e-05
A##,0.0,6.88346040e-05,4.16490896e-05,6.69958925e-04,9.58087683e-05,5.55886377e-06,5.56924549e-07
E##,0.0,3.46301397e-05,5.92160890e-05,4.91023053e-04,9.65915485e-05,1.93627744e-06,2.50014734e-07
B##,0.0,1.92606663e-05,9.35520657e-06,3.59024741e-04,4.31419649e-05,6.38816772e-07,1.04254915e-07
