pitch,dist_empirical,dist_binomial,dist_binomial_tritones,dist_gamma,dist_factor_poisson,dist_gaussian,dist_static
Fbb,0.0,6.09124130e-16,4.03523802e-11,6.08008359e-09,8.22906452e-09,7.08420556e-17,1.36764787e-06
Cbb,0.0,6.73802251e-14,1.38484433e-09,1.97553404e-08,2.74823475e-08,3.00846375e-15,3.00849208e-06
Gbb,0.0,3.66812932e-13,9.74597229e-09,6.36803437e-08,8.80971890e-08,1.03642011e-13,5.98627873e-06
Dbb,0.0,1.64610920e-12,8.81619628e-09,2.03456684e-07,2.83124802e-07,2.89643841e-12,6.54062392e-05
Abb,0.0,1.24193162e-10,1.33119931e-07,6.43591250e-07,9.21856426e-07,6.56644312e-11,2.55581054e-05
Ebb,0.0,5.38898523e-10,6.37422119e-07,2.01304103e-06,2.87016762e-06,1.20762889e-09,6.52051988e-05
Bbb,0.0,3.00703028e-09,9.07310986e-07,6.21602616e-06,8.41577881e-06,1.80166575e-08,2.39085173e-04
Fb,0.0,1.33902156e-07,8.05455439e-06,1.89124954e-05,2.48952852e-05,2.18048133e-07,3.58404545e-04
Cb,0.0,4.38683352e-07,3.01999408e-05,5.65604427e-05,7.56388634e-05,2.14075980e-06,7.68084785e-04
Gb,0.0,3.40185445e-06,5.39476624e-05,1.65759328e-04,2.14595777e-04,1.70498644e-05,1.84985244e-03
Db,0.0,6.86017662e-05,3.20742108e-04,4.74165880e-04,5.52206845e-04,1.10156807e-04,2.79387991e-03
Ab,0.0,1.64277581e-04,1.00652938e-03,1.31704923e-03,1.44543960e-03,5.77349995e-04,4.88479578e-03
Eb,0.0,1.82378625e-03,1.86583192e-03,3.52700551e-03,4.01458684e-03,2.45473387e-03,8.76678848e-03
Bb,0.007476635514018692,6.62824676e-03,7.92770135e-03,9.01553572e-03,9.96387681e-03,8.46656184e-03,1.71334817e-02
F,0.025233644859813085,2.39589419e-02,2.13247527e-02,2.16743840e-02,2.04329795e-02,2.36890243e-02,2.69861842e-02
C,0.03644859813084112,5.39607291e-02,3.55853919e-02,4.78932101e-02,4.22180431e-02,5.37680991e-02,4.04042277e-02
G,0.11588785046728972,1.05191463e-01,1.01742737e-01,9.36236250e-02,1.02902663e-01,9.90010071e-02,8.02260878e-02
D,0.17570093457943925,1.49214371e-01,2.18010044e-01,1.51784511e-01,2.04693196e-01,1.47874048e-01,1.29741699e-01
A,0.21682242990654205,1.82714298e-01,2.03602337e-01,1.86359006e-01,2.31542908e-01,1.79176782e-01,1.26833046e-01
E,0.08598130841121496,1.69701219e-01,1.24112347e-01,1.81946394e-01,9.21737130e-02,1.76120099e-01,1.04250822e-01
B,0.13925233644859814,1.38434034e-01,1.18881452e-01,1.41801909e-01,9.15317631e-02,1.40434409e-01,1.13153404e-01
F#,0.1261682242990654,8.52483897e-02,8.63535727e-02,8.85934859e-02,9.85692158e-02,9.08396727e-02,1.28677793e-01
C#,0.04766355140186916,4.88132396e-02,3.50766975e-02,4.28744753e-02,3.69970344e-02,4.76666917e-02,7.88960505e-02
G#,0.010280373831775701,2.03142465e-02,2.33212634e-02,1.79338334e-02,2.23749151e-02,2.02904594e-02,3.70436570e-02
D#,0.0065420560747663555,9.35385166e-03,1.36843902e-02,6.97377610e-03,2.17063588e-02,7.00658139e-03,2.91730323e-02
A#,0.003738317757009346,2.77300453e-03,3.84252835e-03,2.57975308e-03,8.72182508e-03,1.96271789e-03,2.72780741e-02
E#,0.002803738317757009,1.23351302e-03,2.02987079e-03,9.13195504e-04,3.94761383e-03,4.46012481e-04,1.65287228e-02
B#,0.0,2.52273888e-04,9.49010348e-04,3.11724397e-04,3.25808708e-03,8.22192598e-05,8.47268980e-03
F##,0.0,1.19397844e-04,1.63427259e-04,1.03478704e-04,1.40953057e-03,1.22952548e-05,6.60497935e-03
C##,0.0,1.79554506e-05,7.86883129e-05,3.35902233e-05,5.51854384e-04,1.49155380e-06,4.51625591e-03
G##,0.0,8.54914409e-06,2.32681999e-05,1.06973928e-05,3.76758518e-04,1.46783667e-07,2.32988756e-03
D##,0.0,1.10053966e-06,2.71844530e-06,3.35092965e-06,1.71557521e-04,1.17180127e-08,9.86306512e-04
A##,0.0,4.55655210e-07,6.57958215e-07,1.03487704e-06,6.33924775e-05,7.58870406e-10,4.07219334e-04
E##,0.0,5.71973249e-08,1.29918912e-07,3.15704378e-07,3.60027840e-05,3.98674711e-11,3.87977684e-04
B##,0.0,1.80950734e-08,9.87197768e-09,9.52763229e-08,1.67326014e-05,1.69905399e-12,1.40979657e-04
