pitch,dist_empirical,dist_binomial,dist_poisson,dist_binomial_tritones,dist_gamma,dist_factor_poisson,dist_gaussian,dist_static
Fbb,0.0,1.89044655e-17,4.61951369e-11,5.57428520e-09,7.57936383e-10,2.88787066e-07,5.16206604e-17,5.88654250e-07
Cbb,0.0,1.85429859e-16,2.42839273e-10,3.35893259e-08,2.59393583e-09,6.87115575e-07,1.56741038e-15,1.36783990e-06
Gbb,0.0,8.75659488e-16,1.00732567e-09,1.80425327e-07,8.79676756e-09,1.58964471e-06,4.00938497e-14,3.00891450e-06
Dbb,0.0,7.50482621e-14,3.13702509e-09,9.04144516e-07,2.95337635e-08,3.72980898e-06,8.63989913e-13,5.98711926e-06
Abb,0.0,5.96606011e-13,1.16577458e-08,3.18572003e-06,9.80561632e-08,8.63900803e-06,1.56846728e-11,6.54154230e-05
Ebb,0.0,2.59719303e-12,6.02426897e-08,8.23943989e-06,3.21543194e-07,1.88896465e-05,2.39871212e-10,2.55616940e-05
Bbb,0.0,1.87090820e-10,2.42951003e-07,2.14886140e-05,1.03982360e-06,4.14325292e-05,3.09041406e-09,6.52143543e-05
Fb,0.0,1.13978031e-09,6.98670581e-07,5.35556855e-05,3.31022420e-06,9.34091624e-05,3.35421649e-08,2.39118743e-04
Cb,0.0,5.01474701e-09,2.38245750e-06,1.11467233e-04,1.03512594e-05,1.95350012e-04,3.06691249e-07,3.58454869e-04
Gb,0.0,2.69716810e-07,1.17969187e-05,2.38610562e-04,3.17116927e-05,3.87655522e-04,2.36236802e-06,7.68192633e-04
Db,0.0,1.14497740e-06,4.52925925e-05,5.68218982e-04,9.48667655e-05,8.30212225e-04,1.53295569e-05,1.85011218e-03
Ab,0.0,6.14434406e-06,1.14914070e-04,1.27576449e-03,2.75985584e-04,1.70463057e-03,8.38006765e-05,2.79427220e-03
Eb,0.0,1.76970089e-04,3.36299729e-04,2.16349073e-03,7.76673941e-04,3.00488506e-03,3.85923587e-04,4.88548166e-03
Bb,0.0,4.38869495e-04,1.48808972e-03,4.59495072e-03,2.09970980e-03,5.70100486e-03,1.49723854e-03,8.76801943e-03
F,0.0,3.89159147e-03,5.08178866e-03,1.19250394e-02,5.40256650e-03,1.17290163e-02,4.89346570e-03,1.71358875e-02
C,0.006198347107438017,1.02548859e-02,1.00015277e-02,1.73256018e-02,1.30605422e-02,1.88547006e-02,1.34734239e-02,2.69899733e-02
G,0.0371900826446281,3.28184419e-02,2.04676293e-02,2.67521004e-02,2.91240609e-02,2.80071712e-02,3.12518174e-02,4.04099008e-02
D,0.08884297520661157,5.98070279e-02,6.23488129e-02,6.03633269e-02,5.83205269e-02,5.58557956e-02,6.10672631e-02,8.02373524e-02
A,0.128099173553719,1.10706537e-01,1.43565110e-01,9.67766223e-02,1.00939085e-01,8.82100811e-02,1.00525794e-01,1.29759916e-01
E,0.0743801652892562,1.39464855e-01,1.50124838e-01,9.08434312e-02,1.44233017e-01,9.01699418e-02,1.39406313e-01,1.26850854e-01
B,0.14669421487603307,1.71981339e-01,1.24924038e-01,1.41251829e-01,1.66947275e-01,1.41033361e-01,1.62863307e-01,1.04265460e-01
F#,0.1859504132231405,1.52150344e-01,1.41106958e-01,2.17725392e-01,1.63328109e-01,2.32334440e-01,1.60287602e-01,1.13169292e-01
C#,0.1797520661157025,1.32272724e-01,1.56683378e-01,1.77211643e-01,1.29587221e-01,1.64026310e-01,1.32896178e-01,1.28695860e-01
G#,0.07851239669421488,8.30583267e-02,9.69867470e-02,7.24209321e-02,8.81708848e-02,7.35384038e-02,9.28241379e-02,7.89071283e-02
D#,0.01652892561983471,5.34715600e-02,3.66364808e-02,2.65890163e-02,5.03880559e-02,3.49110523e-02,5.46191874e-02,3.70488584e-02
A#,0.01859504132231405,2.55777438e-02,2.04508031e-02,2.53902591e-02,2.54058238e-02,2.50345085e-02,2.70748103e-02,2.91771285e-02
E#,0.030991735537190084,1.34474225e-02,1.49795735e-02,1.67495298e-02,1.20936359e-02,1.40470474e-02,1.13063255e-02,2.72819042e-02
B#,0.008264462809917356,6.06472612e-03,8.44976894e-03,5.84763390e-03,5.56105327e-03,5.72212316e-03,3.97752963e-03,1.65310436e-02
F##,0.0,2.59110991e-03,3.01038865e-03,1.44389834e-03,2.44019129e-03,2.31916141e-03,1.17880301e-03,8.47387946e-03
C##,0.0,1.18781411e-03,1.44486953e-03,1.37440983e-03,1.02288927e-03,1.24349394e-03,2.94309939e-04,6.60590676e-03
G##,0.0,3.74270451e-04,9.21664496e-04,6.80719169e-04,4.16213433e-04,6.00474704e-04,6.19019736e-05,4.51689004e-03
D##,0.0,1.68248340e-04,5.05542614e-04,1.47716424e-04,1.65944404e-04,2.28854004e-04,1.09683156e-05,2.33021470e-03
A##,0.0,6.40188105e-05,1.81302219e-04,9.50162679e-05,6.47699900e-05,8.56111510e-05,1.63723589e-06,9.86445000e-04
E##,0.0,1.58729782e-05,8.11338857e-05,3.53899776e-05,2.47392890e-05,3.91052142e-05,2.05882035e-07,4.07276512e-04
B##,0.0,7.73486868e-06,4.78515368e-05,1.03975245e-05,9.28574229e-06,1.69430561e-05,2.18102941e-08,3.88032161e-04
