pitch,dist_empirical,dist_binomial,dist_binomial_tritones,dist_gamma,dist_factor_poisson,dist_gaussian,dist_static
Fbb,0.0,1.12855478e-04,1.67806040e-04,1.48109331e-05,1.58904480e-04,1.38223472e-04,2.39103573e-04
Cbb,0.0,3.02997168e-04,1.42534840e-04,4.71927808e-05,3.28730750e-04,3.79000164e-04,3.58432128e-04
Gbb,0.0,4.24133285e-04,6.79387036e-04,1.46930317e-04,7.51213056e-04,9.57369111e-04,7.68143897e-04
Dbb,0.0,1.65382793e-03,2.10549736e-03,4.41420723e-04,1.63881619e-03,2.22793152e-03,1.84999481e-03
Abb,0.0,3.46378569e-03,3.04737560e-03,1.25587840e-03,3.03290737e-03,4.77646585e-03,2.79409492e-03
Ebb,0.0007246376811594203,3.80792404e-03,3.72559319e-03,3.40903812e-03,5.45431189e-03,9.43395783e-03,4.88517171e-03
Bbb,0.012681159420289856,1.12246277e-02,1.22710659e-02,8.80528936e-03,1.15359954e-02,1.71657822e-02,8.76746317e-03
Fb,0.035507246376811595,2.73933591e-02,2.94222898e-02,2.03289365e-02,2.29616647e-02,2.87750229e-02,1.71348003e-02
Cb,0.04673913043478261,3.56752579e-02,3.60702174e-02,4.21125922e-02,3.52037065e-02,4.44375566e-02,2.69882610e-02
Gb,0.03297101449275362,4.47200814e-02,3.70008038e-02,7.32250946e-02,4.84666950e-02,6.32218324e-02,4.04073371e-02
Db,0.08985507246376812,9.19123157e-02,8.97238708e-02,1.08329636e-01,9.01874049e-02,8.28640965e-02,8.02322620e-02
Ab,0.17355072463768115,1.59799586e-01,1.68287171e-01,1.28577876e-01,1.57846459e-01,1.00057151e-01,1.29751684e-01
Eb,0.16485507246376813,1.54834003e-01,1.66010467e-01,1.29184287e-01,1.71758965e-01,1.11304387e-01,1.26842807e-01
Bb,0.09347826086956522,8.92217430e-02,8.40896947e-02,1.16255375e-01,8.69830465e-02,1.14066691e-01,1.04258845e-01
F,0.07789855072463768,7.13953125e-02,6.68492544e-02,9.71120390e-02,7.06245807e-02,1.07693085e-01,1.13162112e-01
C,0.08840579710144927,9.71896013e-02,9.01346602e-02,7.67986620e-02,8.94350751e-02,9.36697164e-02,1.28687696e-01
G,0.05688405797101449,8.34912537e-02,7.80458559e-02,5.81916577e-02,7.80874404e-02,7.50573120e-02,7.89021223e-02
D,0.030072463768115943,3.95597999e-02,3.98584712e-02,4.26037674e-02,3.55937396e-02,5.54075851e-02,3.70465079e-02
A,0.014492753623188406,2.14987602e-02,2.81878549e-02,3.03277315e-02,2.38404340e-02,3.76814712e-02,2.91752775e-02
E,0.017753623188405798,2.48532833e-02,2.35377273e-02,2.10904080e-02,2.45592410e-02,2.36085271e-02,2.72801734e-02
B,0.02826086956521739,1.89973595e-02,1.64476748e-02,1.43795204e-02,1.82710231e-02,1.36267519e-02,1.65299948e-02
F#,0.010869565217391304,7.91447346e-03,8.93128767e-03,9.63915394e-03,7.97233171e-03,7.24599813e-03,8.47334186e-03
C#,0.015217391304347827,3.34366250e-03,6.47202586e-03,6.36715893e-03,4.91280529e-03,3.54965790e-03,6.60548767e-03
G#,0.002536231884057971,3.29507049e-03,3.63855008e-03,4.15202224e-03,4.35422155e-03,1.60198039e-03,4.51660348e-03
D#,0.006159420289855073,2.25526877e-03,2.20523544e-03,2.67692123e-03,2.86605588e-03,6.66055326e-04,2.33006687e-03
A#,0.0007246376811594203,8.44686123e-04,1.25913289e-03,1.70851568e-03,1.22189541e-03,2.55120777e-04,9.86382417e-04
E#,0.0,3.18667310e-04,8.01775699e-04,1.08061077e-03,7.17298681e-04,9.00251316e-05,4.07250674e-04
B#,0.0,2.53461909e-04,3.92370978e-04,6.77918267e-04,5.64946977e-04,2.92660503e-05,3.88007543e-04
F##,0.00036231884057971015,1.47183410e-04,2.33129796e-04,4.22161134e-04,3.37611366e-04,8.76489824e-06,1.40990507e-04
C##,0.0,5.18297216e-05,1.19778802e-04,2.61132919e-04,1.42014493e-04,2.41831046e-06,4.29749754e-05
G##,0.0,2.05584578e-05,7.23074708e-05,1.60538585e-04,8.05077787e-05,6.14694950e-07,2.91125698e-05
D##,0.0,1.44340947e-05,3.14340241e-05,9.81414039e-05,5.75540875e-05,1.43942701e-07,2.72030762e-06
A##,0.0,6.25204533e-06,2.29107726e-05,5.96862613e-05,3.18170493e-05,3.10528930e-08,1.39704338e-05
E##,0.0,1.77323936e-06,8.73717925e-06,3.61258182e-05,1.32748829e-05,6.17158759e-09,5.56791445e-07
B##,0.0,8.10293465e-07,6.05002116e-06,2.17688320e-05,7.31015931e-06,1.12998881e-09,2.49954980e-07
