pitch,dist_empirical,dist_binomial,dist_binomial_tritones,dist_gamma,dist_factor_poisson,dist_gaussian,dist_static
Fbb,0.0,9.53471282e-06,2.47467706e-05,5.30448967e-05,2.66960073e-05,2.04890959e-05,6.52059812e-05
Cbb,0.0,2.60598901e-05,3.48795372e-05,1.10222081e-04,6.23369102e-05,6.71771415e-05,2.39088042e-04
Gbb,0.0,1.76296933e-04,1.96419245e-04,2.43575781e-04,1.50864361e-04,2.01792494e-04,3.58408846e-04
Dbb,0.0,1.84915186e-04,3.23402600e-04,5.29354129e-04,3.72759228e-04,5.55358287e-04,7.68094001e-04
Abb,0.0,7.07083435e-04,1.21898371e-03,1.01196416e-03,8.36483210e-04,1.40031670e-03,1.84987464e-03
Ebb,0.0,2.07610667e-03,1.21637638e-03,1.95606331e-03,1.71477015e-03,3.23492372e-03,2.79391343e-03
Bbb,0.0006939625260235947,2.27536299e-03,2.41975597e-03,4.33064043e-03,3.70300727e-03,6.84678329e-03,4.88485439e-03
Fb,0.021512838306731435,8.88018691e-03,1.18390466e-02,9.42733890e-03,8.42217719e-03,1.32768143e-02,8.76689367e-03
Cb,0.021859819569743234,1.99676714e-02,1.92056568e-02,1.58630322e-02,1.65490931e-02,2.35877189e-02,1.71336873e-02
Gb,0.011450381679389313,2.33471418e-02,1.84328150e-02,2.57663048e-02,2.71686691e-02,3.83939477e-02,2.69865080e-02
Db,0.04823039555863983,4.97809265e-02,3.59263359e-02,5.27628044e-02,4.71879006e-02,5.72564420e-02,4.04047124e-02
Ab,0.09507286606523248,1.06416096e-01,1.01549657e-01,7.76278754e-02,9.53899938e-02,7.82295274e-02,8.02270504e-02
Eb,0.15579458709229702,1.52247532e-01,1.60396464e-01,1.51827275e-01,1.51759501e-01,9.79268577e-02,1.29743256e-01
Bb,0.14191533657182512,1.24825437e-01,1.19271869e-01,1.51020159e-01,1.46263372e-01,1.12309810e-01,1.26834568e-01
F,0.09333795975017349,9.18803859e-02,9.49159600e-02,1.27385947e-01,8.37458350e-02,1.18009870e-01,1.04252073e-01
C,0.10201249132546843,9.98478729e-02,1.05051217e-01,1.01250627e-01,1.08022342e-01,1.13606644e-01,1.13154761e-01
G,0.12491325468424705,1.06258063e-01,1.03066345e-01,7.77531744e-02,1.06787196e-01,1.00201424e-01,1.28679336e-01
D,0.04371963913948647,7.13820640e-02,5.94003385e-02,5.80277289e-02,5.34375386e-02,8.09708724e-02,7.88969971e-02
A,0.037820957668285915,3.98277232e-02,4.89017012e-02,4.23778710e-02,4.28571644e-02,5.99471452e-02,3.70441015e-02
E,0.03018736988202637,3.38636131e-02,4.41282527e-02,3.04560958e-02,4.19208617e-02,4.06623951e-02,2.91733823e-02
B,0.017696044413601664,2.89917938e-02,2.21147367e-02,2.16175914e-02,2.29808301e-02,2.52698212e-02,2.72784014e-02
F#,0.019083969465648856,1.62445021e-02,1.86257945e-02,1.51898176e-02,1.32455725e-02,1.43878580e-02,1.65289211e-02
C#,0.01457321304649549,7.71725593e-03,1.26957006e-02,1.05842038e-02,1.13055649e-02,7.50541794e-03,8.47279146e-03
G#,0.005898681471200555,5.52474780e-03,7.30715880e-03,7.32332095e-03,6.86423166e-03,3.58705785e-03,6.60505860e-03
D#,0.010409437890353921,3.85076943e-03,5.02878208e-03,5.03684729e-03,3.48729083e-03,1.57067613e-03,4.51631010e-03
A#,0.002775850104094379,1.85844026e-03,2.82030018e-03,3.44643606e-03,2.41492261e-03,6.30114783e-04,2.32991551e-03
E#,0.001040943789035392,8.34986657e-04,1.94889020e-03,2.34764052e-03,1.53424656e-03,2.31599414e-04,9.86318346e-04
B#,0.0,4.95864198e-04,8.67201004e-04,1.59286717e-03,7.73983778e-04,7.79901950e-05,4.07224220e-04
F##,0.0,2.72901161e-04,5.69201216e-04,1.07698659e-03,4.46033383e-04,2.40617560e-05,3.87982340e-04
C##,0.0,1.20606747e-04,2.99130745e-04,7.25918916e-04,2.75815035e-04,6.80141686e-06,1.40981348e-04
G##,0.0,5.83617191e-05,9.71376450e-05,4.87923772e-04,1.43248438e-04,1.76139286e-06,4.29721839e-05
D##,0.0,3.01341519e-05,7.43905351e-05,3.27130080e-04,7.39348703e-05,4.17924500e-07,2.91106787e-05
A##,0.0,1.24016101e-05,1.97423143e-05,2.18824345e-04,4.23517002e-05,9.08498456e-08,2.72013092e-06
E##,0.0,4.72083770e-06,7.09564499e-06,1.46071619e-04,2.23832290e-05,1.80940305e-08,1.39695263e-05
B##,0.0,2.44014524e-06,4.51405598e-06,9.73213591e-05,1.10287001e-05,3.30165132e-09,5.56755278e-07
