pitch,dist_empirical,dist_binomial,dist_poisson,dist_binomial_tritones,dist_gamma,dist_factor_poisson,dist_gaussian,dist_static
Fbb,0.0,2.35171550e-12,3.35647669e-10,5.63962719e-09,5.93980742e-08,1.84934117e-08,1.97265995e-15,5.98587345e-06
Cbb,0.0,4.46145626e-12,1.17951099e-09,7.75115799e-09,1.73969284e-07,6.04892878e-08,7.97781633e-14,6.54018112e-05
Gbb,0.0,2.74971192e-10,8.49419187e-09,9.11070273e-08,5.06721143e-07,2.15899984e-07,2.57437145e-12,2.55563750e-05
Dbb,0.0,1.50000433e-09,4.11555971e-08,2.08450411e-07,1.46670620e-06,7.74731513e-07,6.62847709e-11,6.52007843e-05
Abb,0.0,3.80958093e-09,1.02536569e-07,8.00932852e-07,4.21510597e-06,2.42340881e-06,1.36179482e-09,2.39068987e-04
Ebb,0.0,8.06607929e-08,3.33972990e-07,3.64110370e-06,1.20140725e-05,7.13670010e-06,2.23236379e-08,3.58380281e-04
Bbb,0.0,5.14410904e-07,2.41064473e-06,7.13663898e-06,3.39153080e-05,2.41216025e-05,2.91993801e-07,7.68032785e-04
Fb,0.0,1.63527284e-06,1.15821159e-05,4.31082608e-05,9.46612605e-05,8.14924791e-05,3.04745755e-06,1.84972721e-03
Cb,0.0,1.41814590e-05,2.58545186e-05,8.70291094e-05,2.60641484e-04,2.24303439e-04,2.53779811e-05,2.79369076e-03
Gb,0.0,9.30374751e-05,7.41419305e-05,3.99249702e-04,7.05848735e-04,5.61638210e-04,1.68628837e-04,4.88446507e-03
Db,0.0,3.49055704e-04,5.13839071e-04,1.13178598e-03,1.87239943e-03,1.77464036e-03,8.94050377e-04,8.76619496e-03
Ab,0.003937007874015748,1.48055986e-03,2.39456664e-03,2.01958636e-03,4.83700103e-03,5.54855852e-03,3.78222628e-03,1.71323218e-02
Eb,0.005905511811023622,7.58174748e-03,4.41232064e-03,1.01840496e-02,1.20636456e-02,1.24948390e-02,1.27669864e-02,2.69843572e-02
Bb,0.02066929133858268,3.02623886e-02,9.60862956e-03,1.63035751e-02,2.86503921e-02,2.26556965e-02,3.43862374e-02,4.04014922e-02
F,0.06692913385826772,7.96411263e-02,5.17265777e-02,6.79275810e-02,6.32621300e-02,6.48755674e-02,7.38986131e-02,8.02206564e-02
C,0.17519685039370078,1.45767601e-01,1.79274817e-01,1.89838464e-01,1.23783200e-01,1.82004500e-01,1.26719453e-01,1.29732915e-01
G,0.25196850393700787,1.91541707e-01,1.63382830e-01,2.48646082e-01,1.92077555e-01,2.79250159e-01,1.73382661e-01,1.26824459e-01
D,0.08070866141732283,1.89781594e-01,1.15481673e-01,9.61553343e-02,1.89513169e-01,8.92509660e-02,1.89288142e-01,1.04243764e-01
A,0.13385826771653545,1.47721442e-01,1.48267508e-01,1.07488612e-01,1.81072015e-01,8.95153725e-02,1.64890837e-01,1.13145743e-01
E,0.16043307086614172,9.68637113e-02,1.85717872e-01,1.41277020e-01,1.10177157e-01,1.29514796e-01,1.14610659e-01,1.28669081e-01
B,0.0639763779527559,5.61394809e-02,8.78799998e-02,5.05056893e-02,5.33932374e-02,4.28231998e-02,6.35636559e-02,7.88907091e-02
F#,0.006889763779527559,2.95415388e-02,1.97737059e-02,1.35844331e-02,2.30899089e-02,2.40964115e-02,2.81285987e-02,3.70411491e-02
C#,0.024606299212598427,1.37527608e-02,1.19912632e-02,3.84156060e-02,9.34880999e-03,3.06154759e-02,9.93213691e-03,2.91710573e-02
G#,0.003937007874015748,5.88103057e-03,1.09301836e-02,5.02790725e-03,3.61979745e-03,1.13158079e-02,2.79828967e-03,2.72762273e-02
D#,0.000984251968503937,2.32762770e-03,5.65287419e-03,5.67699822e-03,1.35651006e-03,4.67827692e-03,6.29068605e-04,1.65276037e-02
A#,0.0,8.57044110e-04,1.28927332e-03,2.66979699e-03,4.95856795e-04,4.90119646e-03,1.12838869e-04,8.47211619e-03
E#,0.0,2.76512854e-04,6.57442753e-04,1.79015662e-03,1.77749587e-04,2.00612251e-03,1.61500849e-05,6.60453219e-03
B#,0.0,8.95845524e-05,5.17790539e-04,5.87081570e-05,6.27230049e-05,7.17149369e-04,1.84436242e-06,4.51595016e-03
F##,0.0,2.54867820e-05,2.75968626e-04,7.25172557e-04,2.18483292e-05,6.00826294e-04,1.68063380e-07,2.32972982e-03
C##,0.0,6.43348588e-06,6.63444940e-05,2.69382997e-05,7.52827102e-06,2.65222103e-04,1.22195522e-08,9.86239737e-04
G##,0.0,1.65010445e-06,3.11443355e-05,3.21182268e-07,2.57018898e-06,8.99527369e-05,7.08912869e-10,4.07191765e-04
D##,0.0,3.89807174e-07,2.24349041e-05,4.78535697e-06,8.70536119e-07,6.05020043e-05,3.28160119e-11,3.87951418e-04
A##,0.0,5.15458913e-08,1.20514250e-05,1.05426061e-07,2.92826341e-07,2.79167046e-05,1.21208789e-12,1.40970112e-04
E##,0.0,1.95986198e-08,3.05029464e-06,6.87831690e-10,9.79043874e-08,9.42635517e-06,3.57221669e-14,4.29687591e-05
B##,0.0,5.48451899e-10,1.36282652e-06,1.19588845e-08,3.25586471e-08,5.23222255e-06,8.40033971e-16,2.91083586e-05
