pitch,dist_empirical,dist_binomial,dist_poisson,dist_binomial_tritones,dist_gamma,dist_factor_poisson,dist_gaussian,dist_static
Fbb,0.0,1.51784241e-09,1.94346573e-07,3.44901187e-06,6.61049859e-07,4.43787231e-06,1.19741157e-08,6.52059812e-05
Cbb,0.0,8.01622327e-09,5.52304865e-07,7.39730304e-06,2.46703804e-06,1.22138097e-05,1.19003183e-07,2.39088042e-04
Gbb,0.0,1.39781669e-07,1.88513446e-06,2.70480233e-05,8.97349926e-06,3.33947224e-05,9.95175181e-07,3.58408846e-04
Dbb,0.0,1.23293035e-06,9.73789196e-06,7.31425368e-05,3.16848588e-05,9.60068642e-05,7.00271296e-06,7.68094001e-04
Abb,0.0,6.41676949e-06,3.83285378e-05,1.71763481e-04,1.08057462e-04,2.62725081e-04,4.14628303e-05,1.84987464e-03
Ebb,0.0,6.30293621e-05,9.63359657e-05,6.08774057e-04,3.53641074e-04,6.37610393e-04,2.06574825e-04,2.79391343e-03
Bbb,0.0,4.68058531e-04,2.83261713e-04,1.19140366e-03,1.10127738e-03,1.53026051e-03,8.66007544e-04,4.88485439e-03
Fb,0.0031746031746031746,2.33595636e-03,1.31989486e-03,3.19459936e-03,3.22614997e-03,4.03362501e-03,3.05486334e-03,8.76689367e-03
Cb,0.01164021164021164,8.27384133e-03,4.67505630e-03,9.97606703e-03,8.74873895e-03,9.85375998e-03,9.06750343e-03,1.71336873e-02
Gb,0.01904761904761905,2.24448048e-02,9.17815421e-03,1.78153307e-02,2.14626729e-02,1.94440333e-02,2.26469385e-02,2.69865080e-02
Db,0.03492063492063492,4.83653056e-02,1.89899559e-02,3.22850916e-02,4.61522620e-02,3.63227897e-02,4.75945368e-02,4.04047124e-02
Ab,0.08148148148148149,8.54438859e-02,6.14232856e-02,8.55197325e-02,8.38908893e-02,8.35643746e-02,8.41648084e-02,8.02270504e-02
Eb,0.18306878306878308,1.25589304e-01,1.47608750e-01,1.86791471e-01,1.25945035e-01,1.71398613e-01,1.25236178e-01,1.29743256e-01
Bb,0.1693121693121693,1.55679462e-01,1.52001634e-01,1.98985164e-01,1.58423291e-01,2.14839707e-01,1.56803192e-01,1.26834568e-01
F,0.0962962962962963,1.63408812e-01,1.24061064e-01,1.08993921e-01,1.66972991e-01,1.18154216e-01,1.65198396e-01,1.04252073e-01
C,0.1111111111111111,1.45830154e-01,1.42095897e-01,9.01141398e-02,1.47401925e-01,9.32861363e-02,1.46447709e-01,1.13154761e-01
G,0.14074074074074075,1.10243275e-01,1.60091225e-01,1.11297478e-01,1.09116155e-01,9.99241700e-02,1.09240875e-01,1.28679336e-01
D,0.10793650793650794,7.03497386e-02,9.64411565e-02,6.75539747e-02,6.78041221e-02,5.77481318e-02,6.85667538e-02,7.88969971e-02
A,0.026455026455026454,3.74203380e-02,3.44109237e-02,2.83571758e-02,3.49289832e-02,3.08579607e-02,3.62132779e-02,3.70441015e-02
E,0.005291005291005291,1.63798821e-02,1.91988011e-02,2.35880376e-02,1.53055679e-02,2.50824571e-02,1.60934041e-02,2.91733823e-02
B,0.007407407407407408,5.74217349e-03,1.43480375e-02,1.80036897e-02,5.92732917e-03,1.53648466e-02,6.01802279e-03,2.72784014e-02
F#,0.0010582010582010583,1.57169943e-03,8.03986063e-03,7.52581672e-03,2.09395780e-03,7.41541300e-03,1.89358833e-03,1.65289211e-02
C#,0.0010582010582010583,3.21919815e-04,2.73687504e-03,3.28859654e-03,6.89501443e-04,4.58617879e-03,5.01352450e-04,8.47279146e-03
G#,0.0,5.11916526e-05,1.31271181e-03,2.38515772e-03,2.14664931e-04,2.77431069e-03,1.11693151e-04,6.60505860e-03
D#,0.0,7.72565075e-06,8.53456564e-04,1.23574714e-03,6.38305085e-05,1.33842079e-03,2.09380280e-05,4.51631010e-03
A#,0.0,1.44368673e-06,4.67764059e-04,5.01479219e-04,1.82657595e-05,6.88322370e-04,3.30271304e-06,2.32991551e-03
E#,0.0,1.78679315e-07,1.61247571e-04,2.54414691e-04,5.05989485e-06,3.85752657e-04,4.38360825e-07,9.86318346e-04
B#,0.0,1.77078083e-08,7.20760787e-05,1.37912356e-04,1.36312848e-06,1.88366138e-04,4.89574130e-08,4.07224220e-04
F##,0.0,3.17525611e-09,4.32853325e-05,6.34843471e-05,3.58437433e-07,8.81642328e-05,4.60077524e-09,3.87982340e-04
C##,0.0,3.41264299e-10,2.33570672e-05,2.77980986e-05,9.22702321e-08,4.47007943e-05,3.63805620e-10,1.40981348e-04
G##,0.0,2.39936718e-11,8.23189584e-06,1.36225431e-05,2.33101830e-08,2.16184701e-05,2.42065904e-11,4.29721839e-05
D##,0.0,4.18375880e-12,3.53489061e-06,5.51090141e-06,5.79099811e-09,9.72346178e-06,1.35526327e-12,2.91106787e-05
A##,0.0,4.07141773e-13,2.01106093e-06,1.35997906e-06,1.41720684e-09,4.51826981e-06,6.38468607e-14,2.72013092e-06
E##,0.0,2.10217904e-14,1.07006536e-06,2.14684192e-07,3.42154418e-10,2.11024188e-06,2.53093655e-15,1.39695263e-05
B##,0.0,3.58106899e-15,3.85573558e-07,3.34715411e-08,8.15956871e-11,9.30464149e-07,8.44206707e-17,5.56755278e-07
