pitch,dist_empirical,dist_binomial,dist_binomial_tritones,dist_gamma,dist_factor_poisson,dist_gaussian,dist_static
Fbb,0.0,7.59384677e-07,4.65196525e-04,1.42692997e-05,7.83296976e-04,5.56894552e-05,7.68603034e-04
Cbb,0.0,2.27946644e-06,1.22653737e-03,5.24485328e-05,1.51189212e-03,1.83018674e-04,1.85110059e-03
Gbb,0.0,1.10153361e-05,9.32355965e-04,1.83521356e-04,1.89971682e-03,5.44523916e-04,2.79576502e-03
Dbb,0.0,4.03029246e-04,1.88177450e-03,6.04126952e-04,2.86134114e-03,1.46668764e-03,4.88809169e-03
Abb,0.0007270083605961468,8.10864536e-04,7.20568339e-03,1.83679570e-03,7.86563779e-03,3.57649334e-03,8.77270368e-03
Ebb,0.0014540167211922936,5.86552354e-03,1.41580169e-02,5.03354714e-03,1.30938330e-02,7.89543985e-03,1.71450422e-02
Bbb,0.0069065794256633955,1.08308006e-02,1.02060231e-02,1.21695650e-02,1.34909899e-02,1.57795406e-02,2.70043925e-02
Fb,0.021446746637586334,3.20841991e-02,1.84062264e-02,2.57642074e-02,1.91029458e-02,2.85503541e-02,4.04314895e-02
Cb,0.08251544892766267,4.55710682e-02,5.59047507e-02,4.74717885e-02,5.32623910e-02,4.67657347e-02,8.02802186e-02
Gb,0.10723373318793167,8.51087854e-02,8.56861362e-02,7.58628394e-02,7.12946521e-02,6.93494692e-02,1.29829239e-01
Db,0.05452562704471101,9.42492802e-02,5.26007210e-02,1.05138948e-01,5.65510219e-02,9.31017061e-02,1.26918624e-01
Ab,0.08542348237004725,1.30173536e-01,7.28636395e-02,1.26614192e-01,7.00847470e-02,1.13154350e-01,1.04321163e-01
Eb,0.1272264631043257,1.15953151e-01,1.69336662e-01,1.32746923e-01,1.86361533e-01,1.24504196e-01,1.13229751e-01
Bb,0.2202835332606325,1.28774820e-01,2.11442051e-01,1.23093712e-01,1.77942503e-01,1.24021175e-01,1.28764615e-01
F,0.08251544892766267,9.49916136e-02,9.09062531e-02,1.03092173e-01,9.92117068e-02,1.11842486e-01,7.89492839e-02
C,0.037804434750999635,8.94121011e-02,3.54612513e-02,7.94961598e-02,5.45091113e-02,9.13096967e-02,3.70686514e-02
G,0.0341693929480189,5.59893672e-02,4.79813920e-02,5.73251200e-02,6.07845944e-02,6.74879298e-02,2.91927162e-02
D,0.07015630679752817,4.61852183e-02,5.93533074e-02,3.91256543e-02,4.83751038e-02,4.51579720e-02,2.72964794e-02
A,0.026172300981461286,2.50862019e-02,2.64867534e-02,2.55118631e-02,2.51830495e-02,2.73553246e-02,1.65398752e-02
E,0.013813158851326791,1.84714426e-02,1.36774988e-02,1.60079313e-02,1.21849884e-02,1.50019748e-02,8.47840657e-03
B,0.019629225736095966,8.89509512e-03,8.42764199e-03,9.72122086e-03,9.73198669e-03,7.44824770e-03,6.60943592e-03
F#,0.0061795710650672485,5.87879768e-03,7.53857043e-03,5.73956000e-03,6.78365871e-03,3.34779539e-03,4.51930316e-03
C#,0.0014540167211922936,2.57268230e-03,3.23537237e-03,3.30681150e-03,3.35988443e-03,1.36226884e-03,2.33145960e-03
G#,0.0,1.51790761e-03,2.38164851e-03,1.86476386e-03,1.52771799e-03,5.01840669e-04,9.86972000e-04
D#,0.0,6.19844879e-04,9.74611827e-04,1.03182691e-03,1.01167442e-03,1.67366296e-04,4.07494097e-04
A#,0.0003635041802980734,3.22786105e-04,6.49900550e-04,5.61391915e-04,6.36478408e-04,5.05323240e-05,3.88239464e-04
E#,0.0,1.25771443e-04,2.57166905e-04,3.00862658e-04,3.02370286e-04,1.38124163e-05,1.41074780e-04
B#,0.0,5.72924408e-05,2.01949502e-04,1.59061900e-04,1.31872226e-04,3.41797721e-06,4.30006625e-05
F##,0.0,2.15005801e-05,6.86785707e-05,8.30654251e-05,7.71919654e-05,7.65716111e-07,2.91299710e-05
C##,0.0,8.58375651e-06,4.84096671e-05,4.28958527e-05,4.47223735e-05,1.55297879e-07,2.72193361e-06
G##,0.0,3.07625035e-06,1.44118676e-05,2.19266859e-05,2.04853162e-05,2.85142783e-08,1.39787842e-05
D##,0.0,1.08889948e-06,1.26819225e-05,1.11035710e-05,8.65067363e-06,4.73978192e-09,5.57124251e-07
A##,0.0,3.65087870e-07,2.77581235e-06,5.57454585e-06,4.63222206e-06,7.13269172e-10,2.50104384e-07
E##,0.0,1.15846041e-07,3.13912904e-06,2.77652247e-06,2.50695598e-06,9.71734599e-11,1.04292299e-07
B##,0.0,3.54277282e-08,8.10359789e-07,1.37275685e-06,1.11152795e-06,1.19850816e-11,6.62002905e-08
