pitch,dist_empirical,dist_binomial,dist_binomial_tritones,dist_gamma,dist_factor_poisson,dist_gaussian,dist_static
Fbb,0.0,7.26698001e-09,6.54440412e-05,9.13285404e-06,3.26850081e-04,2.69623050e-05,3.58517814e-04
Cbb,0.0,1.93002504e-08,3.15153396e-04,3.33572318e-05,6.74230198e-04,9.93791646e-05,7.68327527e-04
Gbb,0.0,3.04533051e-06,3.07284715e-04,1.17172546e-04,1.37655930e-03,3.28564528e-04,1.85043706e-03
Dbb,0.0,7.68759319e-06,1.67759624e-03,3.92417981e-04,2.46402432e-03,9.74390443e-04,2.79476287e-03
Abb,0.0,2.84670734e-05,2.37168185e-03,1.23789547e-03,4.49482668e-03,2.59198429e-03,4.88633954e-03
Ebb,0.00037230081906180194,1.99309258e-03,5.81357736e-03,3.61109015e-03,8.94304736e-03,6.18470119e-03,8.76955909e-03
Bbb,0.0022338049143708115,2.98421296e-03,1.33520585e-02,9.48101744e-03,1.49505872e-02,1.32370768e-02,1.71388965e-02
Fb,0.017870439314966492,2.10569020e-02,2.31664999e-02,2.17296341e-02,2.22618020e-02,2.54127966e-02,2.69947127e-02
Cb,0.07297096053611318,6.33729348e-02,3.70596887e-02,4.28337155e-02,4.07759438e-02,4.37622702e-02,4.04169968e-02
Gb,0.09121370067014148,1.11390545e-01,7.29048488e-02,7.29057114e-02,6.65020059e-02,6.75980601e-02,8.02514420e-02
Db,0.0967982129560685,1.09577909e-01,9.60595125e-02,1.05402293e-01,7.65226772e-02,9.36603186e-02,1.29782702e-01
Ab,0.09977661950856292,9.79471034e-02,1.13595159e-01,1.31332917e-01,1.06276471e-01,1.16402963e-01,1.26873129e-01
Eb,0.11950856291883842,1.16061365e-01,1.55504108e-01,1.40152442e-01,1.67639867e-01,1.29765562e-01,1.04283769e-01
Bb,0.17051377513030527,1.35363531e-01,1.54341711e-01,1.29618779e-01,1.55951099e-01,1.29760310e-01,1.13189164e-01
F,0.09903201787043932,9.18682656e-02,9.36171755e-02,1.06838038e-01,1.01130206e-01,1.16388831e-01,1.28718459e-01
C,0.05212211466865227,5.97096568e-02,5.76682969e-02,8.05714545e-02,6.78825131e-02,9.36413667e-02,7.89209844e-02
G,0.06999255398361877,6.25594309e-02,6.15367221e-02,5.67079448e-02,5.84516842e-02,6.75789113e-02,3.70553641e-02
D,0.056217423678332094,5.60700517e-02,5.17288162e-02,3.77849123e-02,4.26689560e-02,4.37463321e-02,2.91822520e-02
A,0.01712583767684289,2.27893633e-02,2.41716616e-02,2.40838263e-02,2.44739290e-02,2.54014851e-02,2.72866949e-02
E,0.014892032762472078,1.49861205e-02,1.13370373e-02,1.47991888e-02,1.39924498e-02,1.32301138e-02,1.65339464e-02
B,0.00781831720029784,1.60666876e-02,1.01377658e-02,8.81919653e-03,9.46111263e-03,6.18094758e-03,8.47536747e-03
F#,0.007073715562174236,9.08258585e-03,7.48374930e-03,5.12036966e-03,5.93470898e-03,2.59020149e-03,6.60706675e-03
C#,0.004467609828741623,1.74032755e-03,2.80720605e-03,2.90697276e-03,3.14047834e-03,9.73641427e-04,4.51768321e-03
G#,0.0,2.67524570e-03,1.16287814e-03,1.61854386e-03,1.64455527e-03,3.28285385e-04,2.33062388e-03
D#,0.0,1.66196819e-03,9.02047260e-04,8.85918481e-04,9.67489724e-04,9.92866964e-05,9.86618219e-04
A#,0.0,5.14032437e-04,5.58811072e-04,4.77650202e-04,5.45497711e-04,2.69350373e-05,4.07348030e-04
E#,0.0,1.81562905e-04,1.87961604e-04,2.54093047e-04,2.71337706e-04,6.55437235e-06,3.88100299e-04
B#,0.0,2.24755425e-04,7.38030672e-05,1.33551791e-04,1.33557419e-04,1.43064423e-06,1.41024211e-04
F##,0.0,1.42673913e-05,4.96506594e-05,6.94381583e-05,7.14837277e-05,2.80103923e-07,4.29852489e-05
C##,0.0,5.05475491e-05,2.63464103e-05,3.57505295e-05,3.71890500e-05,4.91919167e-08,2.91195293e-05
G##,0.0,1.31277708e-05,7.87386747e-06,1.82426038e-05,1.75868408e-05,7.74917209e-09,2.72095793e-06
D##,0.0,2.11903923e-06,4.62459680e-06,9.23306338e-06,8.24445700e-06,1.09497417e-09,1.39737735e-05
A##,0.0,8.95632475e-08,1.84638761e-06,4.63823279e-06,4.11203212e-06,1.38784017e-10,5.56924549e-07
E##,0.0,2.80529314e-06,9.99001493e-07,2.31400982e-06,2.00729998e-06,1.57783664e-11,2.50014734e-07
B##,0.0,1.66100311e-07,4.03252492e-07,1.14712938e-06,9.09578779e-07,1.60905775e-12,1.04254915e-07
