pitch,dist_empirical,dist_binomial,dist_binomial_tritones,dist_poisson,dist_gamma,dist_factor_poisson,dist_gaussian,dist_static
Fbb,0.0,1.13052570e-03,0.00087339,0.00041146,6.27735855e-04,0.000891,0.00033354,5.98587345e-06
Cbb,0.0,1.79290645e-03,0.00170559,0.00076558,9.43991305e-04,0.00142453,0.00061911,6.54018112e-05
Gbb,0.0,2.41428489e-03,0.00244735,0.00137793,1.40613102e-03,0.00326081,0.00110713,2.55563750e-05
Dbb,0.0,3.21947114e-03,0.00283894,0.00239512,2.07326119e-03,0.0040685,0.00190733,6.52007843e-05
Abb,0.0,5.01486936e-03,0.00426575,0.00401316,3.02359584e-03,0.0037849,0.00316563,2.39068987e-04
Ebb,0.00827153451226469,7.91015588e-03,0.00818671,0.00646707,4.35781229e-03,0.0056213,0.0050617,3.58380281e-04
Bbb,0.007415858528237307,1.04378699e-02,0.01154788,0.0099995,6.20124157e-03,0.0123876,0.00779715,7.68032785e-04
Fb,0.0034227039361095267,1.20973331e-02,0.01222075,0.0148069,8.70350623e-03,0.01480447,0.0115712,1.84972721e-03
Cb,0.018824871648602397,1.59016264e-02,0.01099298,0.02096639,1.20336390e-02,0.01288737,0.01654339,2.79369076e-03
Gb,0.032515687393040504,2.38504361e-02,0.02370837,0.02836046,1.63681703e-02,0.01734703,0.02278629,4.88446507e-03
Db,0.05419281232173417,3.17658044e-02,0.03933053,0.03664208,2.18693856e-02,0.03619781,0.03023612,8.76619496e-03
Ab,0.07586993725042784,3.43783046e-02,0.03873316,0.04527392,2.86512911e-02,0.04123324,0.03865286,1.71323218e-02
Eb,0.0356531660011409,3.67904879e-02,0.02834315,0.05361777,3.67323030e-02,0.03328974,0.04760368,2.69843572e-02
Bb,0.03822019395322305,4.86462422e-02,0.03930156,0.06102754,4.59768723e-02,0.03908491,0.05648104,4.04014922e-02
F,0.06560182544209926,6.40686713e-02,0.07604599,0.0669369,5.60336170e-02,0.0747892,0.06456067,8.02206564e-02
C,0.05048488305761552,6.83595638e-02,0.08515972,0.07093481,6.62849404e-02,0.08057429,0.0710946,1.29732915e-01
G,0.04535082715345123,6.20639268e-02,0.05714898,0.07279226,7.58312752e-02,0.05974383,0.07542381,1.26824459e-01
D,0.04392470051340559,6.50755722e-02,0.05182006,0.0724361,8.35388174e-02,0.05753976,0.07708742,1.04243764e-01
A,0.06531660011409013,8.05031586e-02,0.08093568,0.06992511,8.81774482e-02,0.09382674,0.0759035,1.13145743e-01
E,0.10867084997147747,8.43545080e-02,0.09711568,0.06545993,8.86585577e-02,0.09408177,0.0720018,1.28669081e-01
B,0.05647461494580719,7.01463261e-02,0.07140599,0.05938857,8.43454124e-02,0.06366617,0.06580034,7.88907091e-02
F#,0.05561893896177981,5.47555292e-02,0.04815681,0.05217223,7.53543795e-02,0.04627272,0.05793168,3.70411491e-02
C#,0.0681688533941814,5.49387938e-02,0.05477514,0.04433351,6.27133736e-02,0.05279249,0.04913685,2.91710573e-02
G#,0.07073588134626355,5.48019636e-02,0.05274479,0.03641063,4.82360304e-02,0.04679318,0.0401515,2.72762273e-02
D#,0.04249857387335995,4.07476406e-02,0.03286658,0.02890084,3.40578968e-02,0.02979171,0.03160818,1.65276037e-02
A#,0.011694238448374215,2.58831475e-02,0.01927597,0.02218879,2.19767315e-02,0.01911411,0.02397179,8.47211619e-03
E#,0.014546491728465488,1.53505231e-02,0.01683987,0.01649975,1.29346374e-02,0.01739409,0.01751478,6.60453219e-03
B#,0.01825442099258414,1.19378585e-02,0.01444829,0.01190346,6.94319069e-03,0.01385178,0.01232855,4.51595016e-03
F##,0.005419281232173417,5.80140307e-03,0.00692037,0.00834929,3.40588680e-03,0.00839866,0.00836032,2.32972982e-03
C##,0.002567027952082145,2.55363552e-03,0.00307532,0.00570795,1.53202258e-03,0.00501087,0.00546181,9.86239737e-04
G##,0.0002852253280091272,2.00493668e-03,0.00343467,0.00381235,6.35193109e-04,0.00393023,0.00343759,4.07191765e-04
D##,0.0,7.22941439e-04,0.00190385,0.00249266,2.44334365e-04,0.00286584,0.00208437,3.87951418e-04
A##,0.0,2.96357250e-04,0.00058684,0.00159843,8.78906990e-05,0.00166678,0.00121758,1.40970112e-04
E##,0.0,2.27108726e-04,0.00055905,0.0010071,2.98133157e-05,0.00094531,0.00068521,4.29687591e-05
B##,0.0,5.61160394e-05,0.00028422,0.00062446,9.61408603e-06,0.00066725,0.0003715,2.91083586e-05
