pitch,dist_empirical,dist_binomial,dist_binomial_tritones,dist_gamma,dist_factor_poisson,dist_gaussian,dist_static
Fbb,0.0,3.47518946e-06,3.10950573e-04,7.66932889e-06,9.17017587e-04,2.14756544e-04,6.52059812e-05
Cbb,0.0,3.54137028e-05,3.56536998e-04,1.91820616e-05,1.16931005e-03,4.71917376e-04,2.39088042e-04
Gbb,0.0,3.65285709e-05,7.43047753e-04,5.75888160e-05,1.87439083e-03,9.81884409e-04,3.58408846e-04
Dbb,0.0,1.38131310e-04,2.65572473e-03,1.77159554e-04,3.93780227e-03,1.93432566e-03,7.68094001e-04
Abb,0.0,7.08449978e-04,4.26353508e-03,3.87672728e-04,5.79121216e-03,3.60805922e-03,1.84987464e-03
Ebb,0.0,8.07521708e-04,4.17459342e-03,9.62153102e-04,6.41500029e-03,6.37224630e-03,2.79391343e-03
Bbb,0.0022358859698155395,3.02046261e-03,8.35552951e-03,3.28624866e-03,1.01203445e-02,1.06558055e-02,4.88485439e-03
Fb,0.019005030743432086,9.46342977e-03,2.21587847e-02,7.01272180e-03,2.10473322e-02,1.68715448e-02,8.76689367e-03
Cb,0.0011179429849077697,1.21393949e-02,2.72692679e-02,1.14170303e-02,2.63628448e-02,2.52928780e-02,1.71336873e-02
Gb,0.016769144773616546,3.13340165e-02,2.28385274e-02,1.58647069e-02,2.43241551e-02,3.59018213e-02,2.69865080e-02
Db,0.07043040804918949,6.98255186e-02,4.22256432e-02,7.78054569e-02,3.78301097e-02,4.82513588e-02,4.04047124e-02
Ab,0.13024035774175516,1.04267379e-01,8.74822821e-02,1.08752913e-01,7.64468293e-02,6.14012833e-02,8.02270504e-02
Eb,0.1291224147568474,9.83958492e-02,8.20145709e-02,1.14204704e-01,7.58315568e-02,7.39809975e-02,1.29743256e-01
Bb,0.07322526551145891,7.38652859e-02,5.53446561e-02,1.08238278e-01,5.43311159e-02,8.43990874e-02,1.26834568e-01
F,0.06595863610955842,8.27379337e-02,8.75117130e-02,9.81229886e-02,8.00802842e-02,9.11654232e-02,1.04252073e-01
C,0.12241475684740079,1.07610217e-01,1.45933021e-01,8.58857360e-02,1.51247172e-01,9.32389530e-02,1.13154761e-01
G,0.07881498043599776,1.02071328e-01,1.01873860e-01,7.30758364e-02,1.06050880e-01,9.02899594e-02,1.28679336e-01
D,0.04024594745667971,6.67865001e-02,4.71359500e-02,6.08576486e-02,5.18115324e-02,8.27858975e-02,7.88969971e-02
A,0.024035774175517048,4.63083106e-02,4.64470958e-02,4.98673810e-02,4.93342369e-02,7.18700751e-02,3.70441015e-02
E,0.05980994969256568,4.99191084e-02,7.09430200e-02,4.03374055e-02,7.65329609e-02,5.90764881e-02,2.91733823e-02
B,0.05477920626048072,4.76767787e-02,4.66449397e-02,3.22817927e-02,4.89491868e-02,4.59786351e-02,2.72784014e-02
F#,0.026830631637786474,3.10188655e-02,2.79476835e-02,2.56039966e-02,2.13632563e-02,3.38822556e-02,1.65289211e-02
C#,0.017887087758524316,1.65797973e-02,1.77434021e-02,2.01534632e-02,1.61722063e-02,2.36408663e-02,8.47279146e-03
G#,0.03130240357741755,1.32266737e-02,1.76083219e-02,1.57598481e-02,2.12977946e-02,1.56181394e-02,6.60505860e-03
D#,0.014533258803801007,1.25239532e-02,1.00412364e-02,1.22542876e-02,1.28972486e-02,9.76944820e-03,4.51631010e-03
A#,0.005030743432084964,8.36625410e-03,8.47307465e-03,9.48114916e-03,5.33273376e-03,5.78609565e-03,2.32991551e-03
E#,0.0072666294019005035,4.05305253e-03,4.28311236e-03,7.30333839e-03,3.51417809e-03,3.24471097e-03,9.86318346e-04
B#,0.0,2.34084369e-03,3.16554971e-03,5.60375458e-03,4.04953001e-03,1.72282537e-03,4.07224220e-04
F##,0.004471771939631079,1.98129949e-03,1.39114433e-03,4.28460745e-03,2.35238153e-03,8.66126518e-04,3.87982340e-04
C##,0.003912800447177194,1.37499856e-03,1.37558384e-03,3.26563721e-03,9.41320072e-04,4.12283776e-04,1.40981348e-04
G##,0.0,6.59410557e-04,5.22429665e-04,2.48187103e-03,5.64907330e-04,1.85817233e-04,4.29721839e-05
D##,0.0,3.11440136e-04,4.50466835e-04,1.88129464e-03,5.82741368e-04,7.92958697e-05,2.91106787e-05
A##,0.0,2.08266521e-04,1.44949977e-04,1.42265068e-03,3.26882493e-04,3.20398134e-05,2.72013092e-06
E##,0.0005589714924538849,1.36579167e-04,1.36737359e-04,1.07346778e-03,1.27861077e-04,1.22575655e-05,1.39695263e-05
B##,0.0,6.75317442e-05,3.30571023e-05,8.08358982e-04,7.16835298e-05,4.44010563e-06,5.56755278e-07
