pitch,dist_empirical,dist_binomial,dist_poisson,dist_binomial_tritones,dist_gamma,dist_factor_poisson,dist_gaussian,dist_static
Fbb,0.0,1.29040872e-05,1.44708036e-06,1.96801453e-05,5.49657269e-05,2.57709139e-05,2.97086386e-07,5.88654250e-07
Cbb,0.0,2.47232930e-05,3.93144494e-06,2.64613753e-05,9.48724732e-05,5.07113716e-05,1.08728068e-06,1.36783990e-06
Gbb,0.0,4.86295735e-05,1.04526431e-05,7.79715047e-05,1.65178976e-04,1.04874755e-04,3.71227893e-06,3.00891450e-06
Dbb,0.0,1.03849291e-04,2.71322992e-05,1.16074588e-04,2.81182389e-04,1.82525996e-04,1.18244115e-05,5.98711926e-06
Abb,0.00321285140562249,1.94091680e-04,6.76847773e-05,3.21728399e-04,4.64044727e-04,2.83325999e-04,3.51364984e-05,6.54154230e-05
Ebb,0.0,3.99657237e-04,1.61584507e-04,4.25768236e-04,7.66909202e-04,5.32006478e-04,9.74041429e-05,2.55616940e-05
Bbb,0.0008032128514056225,9.14113205e-04,3.73133036e-04,9.79443924e-04,1.28118166e-03,1.05967045e-03,2.51904767e-04,6.52143543e-05
Fb,0.0024096385542168677,1.50360579e-03,8.33353228e-04,1.47517032e-03,2.08770895e-03,1.72119123e-03,6.07764529e-04,2.39118743e-04
Cb,0.0024096385542168677,1.99054926e-03,1.76791443e-03,2.91198612e-03,3.26061133e-03,2.40953184e-03,1.36796290e-03,3.58454869e-04
Gb,0.004819277108433735,4.24244460e-03,3.52920962e-03,4.34601260e-03,5.04717628e-03,4.25442118e-03,2.87245542e-03,7.68192633e-04
Db,0.01285140562248996,9.13638152e-03,6.69691725e-03,9.15475411e-03,7.88749418e-03,8.08399242e-03,5.62693997e-03,1.85011218e-03
Ab,0.001606425702811245,1.15194527e-02,1.21188274e-02,1.08206990e-02,1.21013258e-02,1.20483724e-02,1.02832708e-02,2.79427220e-03
Eb,0.013654618473895583,1.30313974e-02,2.05233477e-02,1.41337981e-02,1.75688161e-02,1.46420780e-02,1.75319520e-02,4.88548166e-03
Bb,0.02248995983935743,2.68850068e-02,3.20340410e-02,2.63211231e-02,2.45637503e-02,2.36294527e-02,2.78849120e-02,8.76801943e-03
F,0.05301204819277108,4.65856933e-02,4.65043372e-02,5.32829725e-02,3.43731271e-02,4.20359724e-02,4.13759797e-02,1.71358875e-02
C,0.05542168674698795,4.66751532e-02,6.34841457e-02,4.89129903e-02,4.79873448e-02,5.59288368e-02,5.72752917e-02,2.69899733e-02
G,0.05220883534136546,4.93157017e-02,8.05978044e-02,3.88906201e-02,6.32654330e-02,5.50940311e-02,7.39650128e-02,4.04099008e-02
D,0.05542168674698795,8.63377658e-02,9.37347428e-02,7.81770319e-02,7.63541223e-02,7.58673014e-02,8.91097797e-02,8.02373524e-02
A,0.13493975903614458,1.16646012e-01,1.00703527e-01,1.45865621e-01,8.94270371e-02,1.20009424e-01,1.00153103e-01,1.29759916e-01
E,0.06987951807228916,9.55008865e-02,1.01980747e-01,1.21392535e-01,1.03050075e-01,1.34456977e-01,1.05013095e-01,1.26850854e-01
B,0.09718875502008033,8.46610345e-02,9.74866411e-02,7.28524179e-02,1.17244638e-01,9.37539704e-02,1.02721774e-01,1.04265460e-01
F#,0.12690763052208837,1.13442577e-01,8.66418660e-02,8.63353031e-02,1.17723154e-01,8.58287805e-02,9.37392714e-02,1.13169292e-01
C#,0.14216867469879518,1.20343876e-01,7.14440653e-02,1.01525344e-01,9.92985670e-02,8.75753375e-02,7.98032617e-02,1.28695860e-01
G#,0.07309236947791165,7.37889975e-02,5.57161315e-02,6.23463271e-02,7.19844836e-02,5.66907594e-02,6.33810920e-02,7.89071283e-02
D#,0.012048192771084338,3.60407237e-02,4.16194986e-02,3.24290144e-02,4.63887711e-02,3.77427520e-02,4.69611583e-02,3.70488584e-02
A#,0.008032128514056224,2.60531190e-02,2.95624861e-02,3.19154942e-02,2.73118403e-02,3.24494859e-02,3.24607006e-02,2.91771285e-02
E#,0.0393574297188755,1.96516004e-02,1.98692818e-02,2.67515896e-02,1.49870087e-02,2.08539105e-02,2.09323017e-02,2.72819042e-02
B#,0.010441767068273093,7.78205693e-03,1.28377345e-02,1.22368497e-02,7.77590000e-03,1.19771142e-02,1.25926197e-02,1.65310436e-02
F##,0.00321285140562249,2.88814954e-03,8.10883443e-03,5.84680732e-03,3.85507162e-03,8.58684010e-03,7.06732721e-03,8.47387946e-03
C##,0.0,2.68666933e-03,4.99392924e-03,5.03314792e-03,1.84070299e-03,5.41664922e-03,3.70027768e-03,6.60590676e-03
G##,0.0024096385542168677,9.79249851e-04,2.97394906e-03,3.07962705e-03,8.51573715e-04,2.92467353e-03,1.80739652e-03,4.51689004e-03
D##,0.0,2.59889218e-04,1.72624007e-03,1.03054649e-03,3.83521484e-04,1.80151637e-03,8.23592858e-04,2.33021470e-03
A##,0.0,2.68251488e-04,9.90792881e-04,4.70112452e-04,1.68774477e-04,1.08918805e-03,3.50115800e-04,9.86445000e-04
E##,0.0,6.60432859e-05,5.62067930e-04,3.45843586e-04,7.27914428e-05,5.72530888e-04,1.38851589e-04,4.07276512e-04
B##,0.0,1.97441144e-05,3.12201736e-04,1.49132866e-04,3.08445822e-05,3.16023406e-04,5.13724180e-05,3.88032161e-04
