pitch,dist_empirical,dist_binomial,dist_poisson,dist_binomial_tritones,dist_gamma,dist_factor_poisson,dist_gaussian,dist_static
Fbb,0.0,1.15845379e-11,6.33599767e-11,1.49326252e-12,1.57653556e-10,2.53763503e-09,4.65804068e-18,2.03334647e-07
Cbb,0.0,4.08304035e-11,2.45295535e-10,1.73236627e-10,5.52134106e-10,7.46408454e-09,1.47236207e-16,3.07665811e-07
Gbb,0.0,9.49534489e-10,1.10393017e-09,2.18508192e-10,1.91773920e-09,2.15064990e-08,3.94964140e-15,5.89122483e-07
Dbb,0.0,1.28826030e-09,4.24525274e-09,4.85732701e-09,6.60074979e-09,6.43528496e-08,8.99150539e-14,1.36892792e-06
Abb,0.0,5.77673784e-09,1.37959504e-08,1.18578698e-08,2.24935328e-08,1.90779592e-07,1.73715612e-12,3.01130788e-06
Ebb,0.0,5.99803786e-08,5.02626623e-08,6.78824618e-08,7.58090286e-08,5.24871162e-07,2.84824269e-11,5.99188160e-06
Bbb,0.0,9.43697420e-08,2.17800672e-07,2.90733854e-07,2.52373098e-07,1.40969357e-06,3.96320768e-10,6.54674564e-05
Fb,0.0,4.86038288e-07,7.99149755e-07,8.64889643e-07,8.28678163e-07,4.01179124e-06,4.68002711e-09,2.55820265e-05
Cb,0.0,2.64983240e-06,2.38173927e-06,3.37819072e-06,2.67908568e-06,1.12452384e-05,4.69009463e-08,6.52662278e-05
Gb,0.0,4.79808607e-06,7.87818782e-06,1.44042224e-05,8.50993010e-06,2.83410147e-05,3.98883931e-07,2.39308945e-04
Db,0.0,2.47813366e-05,3.17582835e-05,3.11188620e-05,2.64904039e-05,6.92331451e-05,2.87901002e-06,3.58739995e-04
Ab,0.0,8.40366989e-05,1.07500754e-04,8.86407900e-05,8.05552048e-05,1.85369917e-04,1.76348394e-05,7.68803677e-04
Eb,0.0,1.74817986e-04,2.78108186e-04,3.77213060e-04,2.38325157e-04,4.84453729e-04,9.16709098e-05,1.85158382e-03
Bb,0.004819277108433735,7.45421796e-04,7.72643776e-04,9.41859317e-04,6.82337751e-04,1.07934706e-03,4.04411291e-04,2.79649485e-03
F,0.0,1.86950817e-03,2.65575160e-03,1.47987565e-03,1.87762670e-03,2.28407168e-03,1.51407261e-03,4.88936772e-03
C,0.0,4.35153693e-03,7.56094452e-03,4.72812525e-03,4.92263782e-03,5.64515311e-03,4.81062863e-03,8.77499378e-03
G,0.016867469879518072,1.22273989e-02,1.47846471e-02,1.50889395e-02,1.21398311e-02,1.34502084e-02,1.29714540e-02,1.71495179e-02
D,0.02650602409638554,2.52737063e-02,2.83189955e-02,2.47636728e-02,2.75433268e-02,2.46911445e-02,2.96829586e-02,2.70114419e-02
A,0.02891566265060241,5.82560151e-02,6.56656892e-02,3.11552355e-02,5.54125666e-02,3.96741483e-02,5.76444382e-02,4.04420441e-02
E,0.11566265060240964,9.20385842e-02,1.24373291e-01,8.75947031e-02,9.46205574e-02,8.60876387e-02,9.50034409e-02,8.03011756e-02
B,0.163855421686747,1.41721368e-01,1.39252459e-01,1.98003190e-01,1.34610434e-01,1.79198044e-01,1.32877962e-01,1.29863131e-01
F#,0.17590361445783131,1.57460978e-01,1.27253116e-01,2.14973941e-01,1.62802856e-01,2.26211396e-01,1.57724181e-01,1.26951755e-01
C#,0.12771084337349398,1.66387794e-01,1.35294346e-01,1.05761364e-01,1.62072920e-01,1.14686234e-01,1.58882220e-01,1.04348396e-01
G#,0.07228915662650602,1.30317968e-01,1.40078433e-01,8.67112232e-02,1.36958136e-01,8.73213129e-02,1.35826347e-01,1.13259310e-01
D#,0.1566265060240964,9.91252616e-02,9.78140701e-02,1.06442883e-01,9.60580832e-02,9.46701732e-02,9.85426957e-02,1.28798229e-01
A#,0.08433734939759036,5.53053489e-02,4.80889990e-02,5.85155208e-02,5.67555021e-02,5.15565354e-02,6.06731518e-02,7.89698935e-02
E#,0.0,3.21487711e-02,2.78209691e-02,2.19035942e-02,2.93801993e-02,2.60541032e-02,3.17030008e-02,3.70783282e-02
B#,0.00963855421686747,1.30008356e-02,1.89575506e-02,1.97690549e-02,1.37880441e-02,2.12757107e-02,1.40583997e-02,2.92003369e-02
F##,0.016867469879518072,6.37961636e-03,1.10342982e-02,1.33006607e-02,6.00856678e-03,1.24822320e-02,5.29057774e-03,2.73036051e-02
C##,0.0,1.91135675e-03,4.80797840e-03,4.44536910e-03,2.47153619e-03,5.68200911e-03,1.68967046e-03,1.65441929e-02
G##,0.0,8.81211287e-04,2.37220424e-03,1.89913353e-03,9.70711443e-04,3.47419744e-03,4.57965354e-04,8.48061984e-03
D##,0.0,1.93973900e-04,1.40844858e-03,1.30827202e-03,3.67105343e-04,2.03827470e-03,1.05340393e-04,6.61116130e-03
A##,0.0,8.97755942e-05,7.75071426e-04,5.14434302e-04,1.34528026e-04,9.31721800e-04,2.05631168e-05,4.52048292e-03
E##,0.0,1.49604417e-05,3.29743216e-04,1.29538708e-04,4.80029098e-05,4.66337862e-04,3.40654908e-06,2.33206822e-03
B##,0.0,6.87568892e-06,1.51637348e-04,5.34124682e-05,1.67422006e-05,2.55129676e-04,4.78930017e-07,9.87229648e-04
