pitch,dist_empirical,dist_binomial,dist_poisson,dist_binomial_tritones,dist_gamma,dist_factor_poisson,dist_gaussian,dist_static
Fbb,0.0,1.23704877e-05,1.75576696e-04,4.49220613e-06,1.36464411e-06,3.47053924e-05,3.67974491e-04,2.39103573e-04
Cbb,0.0,4.48389031e-05,4.01376480e-04,1.64793308e-05,6.13048838e-06,9.89424317e-05,8.03885507e-04,3.58432128e-04
Gbb,0.0,1.56687587e-04,8.86672663e-04,5.06834999e-05,2.66939839e-05,2.71629901e-04,1.65557917e-03,7.68143897e-04
Dbb,0.0,3.40654469e-04,1.86188083e-03,1.39542864e-04,1.04969820e-04,7.14766658e-04,3.21428941e-03,1.84999481e-03
Abb,0.0,9.72155325e-04,3.68357306e-03,4.40779327e-04,3.98597028e-04,1.78945560e-03,5.88300570e-03,2.79409492e-03
Ebb,0.0017035775127768314,2.99395343e-03,6.92612944e-03,1.65259444e-03,1.53312964e-03,4.23547553e-03,1.01506261e-02,4.88517171e-03
Bbb,0.0068143100511073255,6.64322985e-03,1.24101740e-02,5.74286388e-03,5.33199623e-03,9.38865379e-03,1.65107065e-02,8.76746317e-03
Fb,0.02129471890971039,1.34358587e-02,2.08296240e-02,1.60410500e-02,1.52615285e-02,1.92406354e-02,2.53173214e-02,1.71348003e-02
Cb,0.018739352640545145,2.99828635e-02,3.22912448e-02,3.55132648e-02,3.73916476e-02,3.58347596e-02,3.65973064e-02,2.69882610e-02
Gb,0.05792163543441227,6.49396800e-02,4.66005363e-02,6.32789015e-02,6.90990561e-02,5.93743014e-02,4.98723412e-02,4.04073371e-02
Db,0.13202725724020442,1.03738240e-01,6.32295090e-02,9.26502738e-02,9.43745518e-02,8.54425527e-02,6.40692529e-02,8.02322620e-02
Ab,0.1252129471890971,1.10604622e-01,7.98907464e-02,1.13379297e-01,1.07371330e-01,1.04462781e-01,7.75923367e-02,1.29751684e-01
Eb,0.10051107325383304,8.67842113e-02,9.27464400e-02,1.18005245e-01,1.09133780e-01,1.07786625e-01,8.85864445e-02,1.26842807e-01
Bb,0.08006814310051108,8.05456105e-02,9.96778106e-02,1.06858146e-01,1.02864783e-01,9.78133263e-02,9.53443539e-02,1.04258845e-01
F,0.09710391822827939,1.03481207e-01,1.01007194e-01,8.76921570e-02,9.18290956e-02,8.76530691e-02,9.67390810e-02,1.13162112e-01
C,0.08517887563884156,1.05799944e-01,9.66693173e-02,6.98353447e-02,7.86740570e-02,8.35246677e-02,9.25312019e-02,1.28687696e-01
G,0.04088586030664395,7.12404163e-02,8.62119239e-02,5.81423464e-02,6.52654873e-02,7.54583160e-02,8.34360466e-02,7.89021223e-02
D,0.02555366269165247,4.45196519e-02,7.15049398e-02,5.13885274e-02,5.27557279e-02,5.79062683e-02,7.09248622e-02,3.70465079e-02
A,0.0434412265758092,4.59521375e-02,5.61093683e-02,4.54135624e-02,4.17438593e-02,4.23093694e-02,5.68358752e-02,2.91752775e-02
E,0.04258943781942078,4.60042908e-02,4.21463985e-02,3.75057758e-02,3.24461816e-02,3.46724518e-02,4.29364241e-02,2.72801734e-02
B,0.03833049403747871,2.91228847e-02,3.01181325e-02,2.81076704e-02,2.48399661e-02,2.87174469e-02,3.05779567e-02,1.65299948e-02
F#,0.02385008517887564,1.41462806e-02,2.03898334e-02,1.95005228e-02,1.87705544e-02,2.00002072e-02,2.05291193e-02,8.47334186e-03
C#,0.029812606473594547,1.16398626e-02,1.32671767e-02,1.33981811e-02,1.40243510e-02,1.29712381e-02,1.29930600e-02,6.60548767e-03
G#,0.01192504258943782,1.14480079e-02,8.42800559e-03,9.83123397e-03,1.03746196e-02,9.60146649e-03,7.75232262e-03,4.51660348e-03
D#,0.011073253833049404,7.01966135e-03,5.21779550e-03,7.70200831e-03,7.60754462e-03,7.42399235e-03,4.36045191e-03,2.33006687e-03
A#,0.005110732538330494,2.86952363e-03,3.12576505e-03,5.95567255e-03,5.53499150e-03,4.81829896e-03,2.31212033e-03,9.86382417e-04
E#,0.0,1.82908230e-03,1.82514656e-03,4.23847685e-03,3.99891165e-03,2.88377572e-03,1.15576259e-03,4.07250674e-04
B#,0.0,1.76829297e-03,1.05260863e-03,2.72848586e-03,2.87090767e-03,1.98297583e-03,5.44635694e-04,3.88007543e-04
F##,0.0008517887563884157,1.06185494e-03,5.99645064e-04,1.66643869e-03,2.04930718e-03,1.44635603e-03,2.41948446e-04,1.40990507e-04
C##,0.0,3.89081612e-04,3.34651098e-04,1.06582620e-03,1.45521939e-03,8.87011476e-04,1.01325520e-04,4.29749754e-05
G##,0.0,1.88809233e-04,1.83366269e-04,7.55674417e-04,1.02843741e-03,5.00621786e-04,4.00031432e-05,2.91125698e-05
D##,0.0,1.72784761e-04,9.97031665e-05,5.55720573e-04,7.23645137e-04,3.25415606e-04,1.48884217e-05,2.72030762e-06
A##,0.0,1.02093477e-04,5.38903464e-05,3.81285366e-04,5.07133168e-04,2.25492584e-04,5.22375105e-06,1.39704338e-05
E##,0.0,3.51936657e-05,2.87365999e-05,2.32369885e-04,3.54078891e-04,1.31829001e-04,1.72780828e-06,5.56791445e-07
B##,0.0,1.39631020e-05,1.51075601e-05,1.29105817e-04,2.46364512e-04,7.11197127e-05,5.38750764e-07,2.49954980e-07
