pitch,dist_empirical,dist_binomial,dist_binomial_tritones,dist_gamma,dist_factor_poisson,dist_gaussian,dist_static
Fbb,0.0,1.81790646e-06,2.77482153e-06,8.60059104e-06,2.09518945e-05,1.94863652e-07,5.98587345e-06
Cbb,0.0,5.26084242e-06,1.15090143e-05,1.91935201e-05,4.30439063e-05,8.52843571e-07,6.54018112e-05
Gbb,0.0,1.53686346e-05,2.71749369e-05,4.21888282e-05,8.65330472e-05,3.42240188e-06,2.55563750e-05
Dbb,0.0,3.90041317e-05,5.03686909e-05,9.12005177e-05,1.68881815e-04,1.25926089e-05,6.52007843e-05
Abb,0.0,1.08765763e-04,1.69884988e-04,1.93550183e-04,3.26763792e-04,4.24838148e-05,2.39068987e-04
Ebb,0.0,2.39851387e-04,3.65895382e-04,4.02442636e-04,6.29964132e-04,1.31417857e-04,3.58380281e-04
Bbb,0.00028423895021081056,6.34526941e-04,6.14426294e-04,8.17897090e-04,1.17234776e-03,3.72742007e-04,7.68032785e-04
Fb,0.001563314226159458,1.22269631e-03,1.68773987e-03,1.62019809e-03,2.09337566e-03,9.69360636e-04,1.84972721e-03
Cb,0.0033634942441612583,2.99179154e-03,3.33796395e-03,3.11805038e-03,3.73340322e-03,2.31145532e-03,2.79369076e-03
Gb,0.005068927945426122,5.10865367e-03,4.98865652e-03,5.80691273e-03,6.63810333e-03,5.05369130e-03,4.88446507e-03
Db,0.011322184850063954,1.11778855e-02,1.09955029e-02,1.04166296e-02,1.10843746e-02,1.01310626e-02,8.76619496e-03
Ab,0.01838078544696575,1.70385545e-02,1.99042869e-02,1.78979496e-02,1.74147803e-02,1.86219164e-02,1.71323218e-02
Eb,0.03178738926524231,3.23593327e-02,2.60245046e-02,2.92602093e-02,2.78385431e-02,3.13846166e-02,2.69843572e-02
Bb,0.0430622009569378,4.37387058e-02,4.44602349e-02,4.51571672e-02,4.42631989e-02,4.84989533e-02,4.04014922e-02
F,0.07807096499123596,7.04796824e-02,7.19500759e-02,6.51936358e-02,6.21739916e-02,6.87180754e-02,8.02206564e-02
C,0.06997015491022786,8.29223716e-02,8.11231607e-02,8.71762356e-02,7.85253536e-02,8.92755824e-02,1.29732915e-01
G,0.10464730683594675,1.11573442e-01,9.95911528e-02,1.06919439e-01,1.05754715e-01,1.06345099e-01,1.26824459e-01
D,0.12999194656307736,1.11804413e-01,1.34823962e-01,1.19334262e-01,1.40587130e-01,1.16151641e-01,1.04243764e-01
A,0.1298024539296035,1.24432678e-01,1.28805828e-01,1.20681831e-01,1.39612070e-01,1.16320511e-01,1.13145743e-01
E,0.08768771614003505,1.04328686e-01,9.94083175e-02,1.10432539e-01,9.68540006e-02,1.06809612e-01,1.28669081e-01
B,0.09010374721682694,9.56950407e-02,8.90048032e-02,9.15038605e-02,7.61489680e-02,8.99264517e-02,7.88907091e-02
F#,0.07953953290065849,6.65698769e-02,7.06984927e-02,6.89154781e-02,6.61683873e-02,6.94204876e-02,3.70411491e-02
C#,0.05329480316452698,5.04599266e-02,4.30613284e-02,4.74156854e-02,4.45790180e-02,4.91372610e-02,2.91710573e-02
G#,0.0279027902790279,2.94421540e-02,2.87658285e-02,3.00430799e-02,2.68691929e-02,3.18902051e-02,2.72762273e-02
D#,0.012743379601118007,1.86308793e-02,1.93812605e-02,1.76972463e-02,1.86244410e-02,1.89769653e-02,1.65276037e-02
A#,0.009806243782272964,9.53334882e-03,9.94955805e-03,9.79479957e-03,1.23229024e-02,1.03542655e-02,8.47211619e-03
E#,0.007911317447534228,5.08598407e-03,5.29409575e-03,5.14647815e-03,6.97749729e-03,5.18006148e-03,6.60453219e-03
B#,0.0022739116016864845,2.43799093e-03,3.07364240e-03,2.58800149e-03,4.01008382e-03,2.37614869e-03,4.51595016e-03
F##,0.0006158510587900895,1.09221333e-03,1.35590524e-03,1.25265132e-03,2.43765369e-03,9.99390913e-04,2.32972982e-03
C##,0.0005684779004216211,5.03309923e-04,5.94061869e-04,5.86297817e-04,1.36404150e-03,3.85407589e-04,9.86239737e-04
G##,0.0001894926334738737,1.96158765e-04,2.98640482e-04,2.66476701e-04,7.15641228e-04,1.36278772e-04,4.07191765e-04
D##,4.737315836846843e-05,8.25556444e-05,1.13592344e-04,1.18032983e-04,3.89361910e-04,4.41834111e-05,3.87951418e-04
A##,0.0,3.17689133e-05,4.14942012e-05,5.10947615e-05,2.10770553e-04,1.31344943e-05,1.40970112e-04
E##,0.0,1.10177258e-05,1.80229188e-05,2.16667121e-05,1.06975921e-04,3.58006205e-06,4.29687591e-05
B##,0.0,4.28675511e-06,5.85243712e-06,9.01881662e-06,5.35371395e-05,8.94727600e-07,2.91083586e-05
