pitch,dist_empirical,dist_binomial,dist_binomial_tritones,dist_gamma,dist_factor_poisson,dist_gaussian,dist_static
Fbb,0.0,2.56910875e-15,1.23666672e-06,1.27041879e-08,3.83093053e-06,1.44321981e-12,3.00836692e-06
Cbb,0.0,2.44406068e-13,4.29995904e-06,4.30712402e-08,8.26118781e-06,2.01776422e-11,5.98602968e-06
Gbb,0.0,1.68972182e-12,9.32797428e-06,1.43834358e-07,1.82309817e-05,2.44100066e-10,6.54035182e-05
Dbb,0.0,6.69009798e-12,1.93765812e-05,4.72362186e-07,3.70959773e-05,2.55520013e-09,2.55570421e-05
Abb,0.0,4.99442187e-10,4.78504734e-05,1.52268318e-06,7.30830207e-05,2.31441635e-08,6.52024861e-05
Ebb,0.0,2.89485008e-09,1.10377595e-04,4.80734207e-06,1.56164583e-04,1.81391779e-07,2.39075227e-04
Bbb,0.0,1.13688168e-08,2.07385515e-04,1.48258125e-05,3.16333255e-04,1.23013636e-06,3.58389635e-04
Fb,0.0,5.99948620e-07,4.20581574e-04,4.45221673e-05,5.62430444e-04,7.21852484e-06,7.68052831e-04
Cb,0.0,2.80653471e-06,1.05523684e-03,1.29690716e-04,1.09231810e-03,3.66524659e-05,1.84977549e-03
Gb,0.0,1.16511278e-05,1.93882810e-03,3.64722116e-04,2.25582734e-03,1.61033965e-04,2.79376367e-03
Db,0.0,3.29628930e-04,2.80615702e-03,9.84406919e-04,3.76254678e-03,6.12197167e-04,4.88459256e-03
Ab,0.0,1.17371654e-03,6.37628886e-03,2.53109299e-03,6.04053522e-03,2.01383873e-03,8.76642376e-03
Eb,0.008948545861297539,5.63180020e-03,1.42733756e-02,6.14060842e-03,1.23400110e-02,5.73215081e-03,1.71327689e-02
Bb,0.016778523489932886,1.30119462e-02,2.00681362e-02,1.38837675e-02,2.09111102e-02,1.41178990e-02,2.69850615e-02
F,0.0011185682326621924,3.33563073e-02,2.43393842e-02,2.87890641e-02,2.62806907e-02,3.00872209e-02,4.04025467e-02
C,0.06935123042505593,5.50547759e-02,5.10602788e-02,5.36502845e-02,4.59558346e-02,5.54821937e-02,8.02227502e-02
G,0.16554809843400448,9.51976181e-02,9.10496636e-02,8.77741480e-02,8.40493886e-02,8.85288285e-02,1.29736301e-01
D,0.06823266219239374,1.17919513e-01,9.27641856e-02,1.23441199e-01,8.90699116e-02,1.22229308e-01,1.26827769e-01
A,0.1174496644295302,1.49861208e-01,9.31948994e-02,1.48141003e-01,1.00017936e-01,1.46024435e-01,1.04246485e-01
E,0.14205816554809844,1.42041432e-01,1.48773407e-01,1.52832879e-01,1.81888223e-01,1.50950744e-01,1.13148696e-01
B,0.14317673378076062,1.37377661e-01,1.98752722e-01,1.35061645e-01,1.84514494e-01,1.35021997e-01,1.28672439e-01
F#,0.1487695749440716,9.93975725e-02,1.36700907e-01,1.03274907e-01,1.16689418e-01,1.04504102e-01,7.88927682e-02
C#,0.06711409395973154,7.37894537e-02,5.79358446e-02,6.81605211e-02,5.83851172e-02,6.99876956e-02,3.70421159e-02
G#,0.0,3.97957575e-02,2.18332603e-02,3.93281468e-02,3.16067502e-02,4.05573521e-02,2.91718186e-02
D#,0.024608501118568233,2.24632919e-02,2.02379651e-02,1.99600790e-02,1.80269213e-02,2.03365387e-02,2.72769393e-02
A#,0.026845637583892617,8.61098188e-03,1.02230952e-02,9.11903128e-03,8.97968810e-03,8.82356366e-03,1.65280351e-02
E#,0.0,3.62636303e-03,2.54533537e-03,3.87177577e-03,3.90333014e-03,3.31261187e-03,8.47233732e-03
B#,0.0,9.51790916e-04,2.07349534e-03,1.55846045e-03,1.71290795e-03,1.07610990e-03,6.60470457e-03
F##,0.0,3.01925707e-04,6.91076391e-04,5.98295896e-04,7.84176888e-04,3.02483888e-04,4.51606803e-03
C##,0.0,6.98805830e-05,2.40204598e-04,2.20012008e-04,3.38372471e-04,7.35711270e-05,2.32979063e-03
G##,0.0,1.67150791e-05,1.87911577e-04,7.80656192e-05,1.33880719e-04,1.54836061e-05,9.86265479e-04
D##,0.0,4.72728128e-06,2.79059262e-05,2.68995283e-05,5.26010448e-05,2.81965754e-06,4.07202393e-04
A##,0.0,6.56136874e-07,1.89473932e-05,9.03169227e-06,2.12275820e-05,4.44303932e-07,3.87961544e-04
E##,0.0,1.61956303e-07,9.95688732e-06,2.96146576e-06,8.29509662e-06,6.05791945e-08,1.40973792e-04
B##,0.0,4.19937247e-08,1.09467476e-06,9.50868302e-07,3.05511663e-06,7.14704267e-09,4.29698806e-05
