pitch,dist_empirical,dist_binomial,dist_poisson,dist_binomial_tritones,dist_gamma,dist_factor_poisson,dist_gaussian,dist_static
Fbb,0.0,2.27732990e-06,3.07581685e-08,4.30460548e-06,1.25021326e-05,7.89938551e-06,9.82207890e-10,1.36764787e-06
Cbb,0.0,5.43770335e-06,1.01407794e-07,4.59594012e-06,2.28464838e-05,1.40986264e-05,6.52015134e-09,3.00849208e-06
Gbb,0.0,1.24651892e-05,3.16980920e-07,2.55930649e-06,4.15464600e-05,2.99235298e-05,3.91200781e-08,5.98627873e-06
Dbb,0.0,2.81216146e-05,1.00511737e-06,6.46816190e-05,7.51485246e-05,6.55336108e-05,2.12143401e-07,6.54062392e-05
Abb,0.0,6.23867546e-05,3.23309723e-06,5.55449314e-05,1.35125693e-04,1.18872903e-04,1.03979355e-06,2.55581054e-05
Ebb,0.0,1.33622592e-04,9.73964306e-06,5.46814517e-05,2.41381657e-04,1.94574853e-04,4.60630285e-06,6.52051988e-05
Bbb,0.001728608470181504,2.75923704e-04,2.72310230e-05,4.26419413e-04,4.28045964e-04,3.95633506e-04,1.84435975e-05,2.39085173e-04
Fb,0.001728608470181504,5.55098597e-04,7.61518625e-05,4.42832876e-04,7.52862141e-04,8.36438848e-04,6.67462023e-05,3.58404545e-04
Cb,0.0025929127052722557,1.09050966e-03,2.15375288e-04,1.29616141e-03,1.31197105e-03,1.40669309e-03,2.18320875e-04,7.68084785e-04
Gb,0.000864304235090752,2.07427513e-03,5.62955133e-04,1.63964554e-03,2.26224962e-03,2.04891301e-03,6.45433858e-04,1.84985244e-03
Db,0.00432152117545376,3.79518022e-03,1.32149112e-03,2.21864140e-03,3.85338886e-03,3.93843490e-03,1.72463026e-03,2.79387991e-03
Ab,0.010371650821089023,6.70019289e-03,3.01612896e-03,9.30432379e-03,6.47163304e-03,7.98599073e-03,4.16512499e-03,4.88479578e-03
Eb,0.00864304235090752,1.14525383e-02,6.88404743e-03,1.28486859e-02,1.06935969e-02,1.22154966e-02,9.09175770e-03,8.76678848e-03
Bb,0.001728608470181504,1.88718175e-02,1.42627145e-02,9.79453749e-03,1.73295989e-02,1.49962222e-02,1.79372328e-02,1.71334817e-02
F,0.032843560933448576,2.97244579e-02,2.53060254e-02,2.70810813e-02,2.73975896e-02,2.64961760e-02,3.19853284e-02,2.69861842e-02
C,0.05358686257562662,4.45032050e-02,4.15239057e-02,5.98615311e-02,4.19970497e-02,5.09456023e-02,5.15506282e-02,4.04042277e-02
G,0.06914433880726016,6.33370790e-02,6.65954672e-02,7.21219664e-02,6.21420372e-02,6.88225302e-02,7.50939393e-02,8.02260878e-02
D,0.07433016421780467,8.55521250e-02,9.59422332e-02,5.64831641e-02,8.81508572e-02,6.33585809e-02,9.88697851e-02,1.29741699e-01
A,0.08729472774416594,1.08600956e-01,1.13832648e-01,9.69792471e-02,1.16579849e-01,9.46422592e-02,1.17654914e-01,1.26833046e-01
E,0.16076058772687987,1.27159048e-01,1.18330012e-01,1.73762533e-01,1.36709189e-01,1.67372691e-01,1.26544808e-01,1.04250822e-01
B,0.17026793431287812,1.34213224e-01,1.19265884e-01,1.69114526e-01,1.39027237e-01,1.89478388e-01,1.23017350e-01,1.13153404e-01
F#,0.08556611927398444,1.24999064e-01,1.13752108e-01,9.87716056e-02,1.22106952e-01,9.11483621e-02,1.08087676e-01,1.28677793e-01
C#,0.07433016421780467,1.00732634e-01,9.32577909e-02,6.20822201e-02,9.17165560e-02,5.84220013e-02,8.58368501e-02,7.88960505e-02
G#,0.07260155574762317,6.90515681e-02,6.57559073e-02,6.14913994e-02,5.93266889e-02,5.98711648e-02,6.16111254e-02,3.70436570e-02
D#,0.07087294727744166,3.94846260e-02,4.47541292e-02,4.22199140e-02,3.44835083e-02,4.00258416e-02,3.99698289e-02,2.91730323e-02
A#,0.011235955056179775,1.84322082e-02,3.05189253e-02,1.82247209e-02,1.85890574e-02,1.77593433e-02,2.34365248e-02,2.72780741e-02
E#,0.0025929127052722557,6.80083756e-03,1.94406557e-02,9.87533921e-03,9.48431787e-03,1.10422018e-02,1.24205812e-02,1.65287228e-02
B#,0.0025929127052722557,1.90592943e-03,1.11635085e-02,7.26368749e-03,4.64107317e-03,8.05175035e-03,5.94947164e-03,8.47268980e-03
F##,0.0,3.81224488e-04,6.29136536e-03,3.79451390e-03,2.19801889e-03,4.20140263e-03,2.57574377e-03,6.60497935e-03
C##,0.0,5.37294460e-05,3.66126487e-03,1.33684330e-03,1.01401479e-03,1.87567280e-03,1.00789362e-03,4.51625591e-03
G##,0.0,6.83741776e-06,2.08513279e-03,6.95824284e-04,4.57838493e-04,1.09448215e-03,3.56463042e-04,2.32988756e-03
D##,0.0,1.24633503e-06,1.10163643e-03,4.20154860e-04,2.03042027e-04,6.38782702e-04,1.13946791e-04,9.86306512e-04
A##,0.0,1.39120943e-07,5.70603748e-04,1.66202298e-04,8.86874600e-05,2.94119958e-04,3.29213375e-05,4.07219334e-04
E##,0.0,1.13402642e-08,3.06138814e-04,6.49122399e-05,3.82369970e-05,1.32774831e-04,8.59687512e-06,3.87977684e-04
B##,0.0,1.94807491e-09,1.64136043e-04,3.09973247e-05,1.63006821e-05,7.11456441e-05,2.02904437e-06,1.40979657e-04
