pitch,dist_empirical,dist_binomial,dist_poisson,dist_binomial_tritones,dist_gamma,dist_factor_poisson,dist_gaussian,dist_static
Fbb,0.0,1.27703574e-10,2.17069493e-09,7.12527042e-07,1.82211275e-07,8.55566745e-07,2.21935254e-11,5.98587345e-06
Cbb,0.0,2.16201882e-09,8.05635367e-09,6.92830047e-07,5.47339214e-07,1.96527942e-06,3.06362727e-10,6.54018112e-05
Gbb,0.0,6.83090534e-09,4.37154753e-08,7.66580611e-06,1.62441002e-06,5.37401698e-06,3.59931839e-09,2.55563750e-05
Dbb,0.0,1.12216007e-07,1.80877086e-07,1.08686171e-05,4.75581133e-06,1.59827431e-05,3.59897900e-08,6.52007843e-05
Abb,0.0,2.78521757e-07,5.11883094e-07,3.85491409e-05,1.37100741e-05,3.86143531e-05,3.06276072e-07,2.39068987e-04
Ebb,0.0,3.91870200e-06,1.74707007e-06,7.50407538e-05,3.88295817e-05,7.82320603e-05,2.21830639e-06,3.58380281e-04
Bbb,0.0,8.66788517e-06,9.15107171e-06,1.19006182e-04,1.07742190e-04,2.03109003e-04,1.36742874e-05,7.68032785e-04
Fb,0.0,9.03335347e-05,3.63130952e-05,6.63449435e-04,2.91874321e-04,5.82466607e-04,7.17401996e-05,1.84972721e-03
Cb,0.0,1.93528632e-04,9.09581246e-05,1.61261498e-03,7.68534591e-04,1.26389965e-03,3.20328195e-04,2.79369076e-03
Gb,0.0,1.32503044e-03,2.67748354e-04,1.23983420e-03,1.95559160e-03,2.11579877e-03,1.21731356e-03,4.88446507e-03
Db,0.0,2.77949927e-03,1.26890145e-03,4.66902465e-03,4.77198050e-03,5.12264671e-03,3.93717268e-03,8.76619496e-03
Ab,0.025796661608497723,1.16217805e-02,4.54831082e-03,1.77306030e-02,1.10499111e-02,1.40515148e-02,1.08378010e-02,1.71323218e-02
Eb,0.030349013657056147,2.21850625e-02,8.91962781e-03,3.00740715e-02,2.39241843e-02,2.62568750e-02,2.53905782e-02,2.69843572e-02
Bb,0.028831562974203338,5.51537973e-02,1.85179035e-02,2.20697010e-02,4.74110060e-02,3.09440393e-02,5.06265946e-02,4.04014922e-02
F,0.03490136570561457,8.13501737e-02,6.11033822e-02,6.25630333e-02,8.34080510e-02,6.60818379e-02,8.59131314e-02,8.02206564e-02
C,0.21396054628224584,1.33195681e-01,1.48942015e-01,1.79719494e-01,1.25265924e-01,1.70094903e-01,1.24083801e-01,1.29732915e-01
G,0.18361153262518967,1.45662835e-01,1.52596082e-01,2.28875955e-01,1.56165416e-01,2.52811868e-01,1.52526512e-01,1.26824459e-01
D,0.08952959028831563,1.67835694e-01,1.23760389e-01,9.99691764e-02,1.65407239e-01,9.70554229e-02,1.59569651e-01,1.04243764e-01
A,0.10166919575113809,1.34171612e-01,1.42410567e-01,7.49116366e-02,1.44255197e-01,7.38044835e-02,1.42079022e-01,1.13145743e-01
E,0.13657056145675264,1.12153384e-01,1.61208765e-01,1.16668081e-01,1.06925793e-01,1.05005524e-01,1.07667426e-01,1.28669081e-01
B,0.11380880121396054,6.43177347e-02,9.62355380e-02,7.57383959e-02,6.58479047e-02,6.58341383e-02,6.94405916e-02,7.88907091e-02
F#,0.02276176024279211,3.96442812e-02,3.36955102e-02,2.55495687e-02,3.46714479e-02,2.68128702e-02,3.81168673e-02,3.70411491e-02
C#,0.009104704097116844,1.63138835e-02,1.88065602e-02,2.19717937e-02,1.62408443e-02,2.33375229e-02,1.78072024e-02,2.91710573e-02
G#,0.0030349013657056147,7.72471913e-03,1.41526685e-02,1.96182557e-02,6.97887665e-03,1.84970527e-02,7.08025499e-03,2.72762273e-02
D#,0.004552352048558422,2.69348707e-03,7.91236094e-03,8.35905487e-03,2.80956292e-03,8.71760358e-03,2.39594481e-03,1.65276037e-02
A#,0.0,1.01998425e-03,2.65271514e-03,2.97330318e-03,1.07503487e-03,4.38023668e-03,6.90048203e-04,8.47211619e-03
E#,0.0,4.02100726e-04,1.27255886e-03,2.33514238e-03,3.94961931e-04,3.22890299e-03,1.69144062e-04,6.60453219e-03
B#,0.0015174506828528073,9.87570365e-05,8.32783556e-04,1.37681515e-03,1.40366702e-04,1.85503728e-03,3.52865168e-05,4.51595016e-03
F##,0.0,3.88272224e-05,4.56287939e-04,5.26583618e-04,4.85258629e-05,8.28301202e-04,6.26520857e-06,2.32972982e-03
C##,0.0,1.11866902e-05,1.55211017e-04,2.49671188e-04,1.63887894e-05,4.53513348e-04,9.46753640e-07,9.86239737e-04
G##,0.0,2.37879147e-06,6.93752417e-05,1.48622267e-04,5.42559971e-06,2.75104464e-04,1.21762384e-07,4.07191765e-04
D##,0.0,1.02056139e-06,4.19225782e-05,7.43643010e-05,1.76540466e-06,1.33727816e-04,1.33279700e-08,3.87951418e-04
A##,0.0,1.83167387e-07,2.26343487e-05,3.35266507e-05,5.65827570e-07,6.08940478e-05,1.24162252e-09,1.40970112e-04
E##,0.0,3.92324996e-08,7.88198438e-06,1.73161161e-05,1.78956040e-07,3.26694941e-05,9.84441385e-11,4.29687591e-05
B##,0.0,1.89692190e-08,3.38365650e-06,8.37586356e-06,5.59344299e-08,1.70121098e-05,6.64300917e-12,2.91083586e-05
